year,published_tfr,partial_18_44,approximate_18_45,young_component,teen_grouping_difference,published_older_component
2007,2.12,2.0499,2.0505,0.0681,-0.001,0.003
2008,2.072,2.0009,2.0016,0.0663,0.0013,0.0035
2009,2.002,1.9345,1.9352,0.0613,0.0027,0.0035
2010,1.931,1.8709,1.8716,0.0539,0.0027,0.0035
2011,1.8945,1.8407,1.8414,0.0482,0.0021,0.0035
2012,1.8805,1.8308,1.8315,0.0443,0.0019,0.0035
2013,1.8575,1.8137,1.8145,0.0384,0.0014,0.004
2014,1.8625,1.8236,1.8244,0.0342,0.0007,0.004
2015,1.8435,1.8084,1.8092,0.0307,0.0004,0.004
2016,1.8205,1.7885,1.7894,0.0274,0.0001,0.0045
2017,1.7655,1.7362,1.7371,0.0247,0.0001,0.0045
2018,1.7295,1.7016,1.7025,0.0226,0.0008,0.0045
2019,1.706,1.6792,1.6801,0.0211,0.0012,0.0045
2020,1.6415,1.6174,1.6183,0.0193,0.0003,0.0045
2021,1.664,1.6422,1.6431,0.0178,-0.0005,0.0045
2022,1.6565,1.6336,1.6347,0.0178,-0.0004,0.0055
2023,1.621,1.5982,1.5993,0.0175,-0.0002,0.0055
