birth_cohort,age_in_2023,year_reaching_50,historical_rate_contribution,projected_remaining_contribution,projected_completed_fertility
1980,43,2030,2.1684,0.018000000000000002,2.1864
1981,42,2031,2.1366,0.030500000000000003,2.1671
1982,41,2032,2.1122,0.04299999999999999,2.1552000000000002
1983,40,2033,2.0873,0.05549999999999999,2.1428
1984,39,2034,2.0585999999999998,0.06800000000000002,2.1266
1985,38,2035,1.9834999999999996,0.1223,2.1057999999999995
1986,37,2036,1.9014,0.17659999999999998,2.078
1987,36,2037,1.8130000000000002,0.2309,2.0439000000000003
1988,35,2038,1.7226000000000001,0.28519999999999995,2.0078
1989,34,2039,1.6302999999999999,0.33949999999999997,1.9697999999999998
1990,33,2040,1.4997999999999998,0.4338,1.9335999999999998
1991,32,2041,1.3724999999999998,0.5280999999999999,1.9005999999999998
1992,31,2042,1.2443,0.6223999999999997,1.8666999999999998
1993,30,2043,1.118,0.7166999999999998,1.8346999999999998
1994,29,2044,0.9929999999999999,0.8109999999999997,1.8039999999999996
1995,28,2045,0.8730999999999999,0.9019999999999998,1.7750999999999997
1996,27,2046,0.7565999999999999,0.9929999999999998,1.7495999999999996
1997,26,2047,0.6401,1.0840000000000005,1.7241000000000004
1998,25,2048,0.5223,1.1750000000000005,1.6973000000000005
1999,24,2049,0.41159999999999997,1.2660000000000005,1.6776000000000004
2000,23,2050,0.33730000000000004,1.3237000000000005,1.6610000000000005
2001,22,2051,0.26649999999999996,1.3814000000000004,1.6479000000000004
2002,21,2052,0.1984,1.4391000000000005,1.6375000000000004
2003,20,2053,0.1355,1.4968000000000004,1.6323000000000003
2004,19,2054,0.07339999999999999,1.5545000000000004,1.6279000000000003
2005,18,2055,0.056600000000000004,1.5676000000000003,1.6242000000000003
2006,17,2056,0.0416,1.5807000000000004,1.6223000000000005
2007,16,2057,0.027699999999999995,1.5938000000000003,1.6215000000000004
2008,15,2058,0.014099999999999998,1.6069000000000004,1.6210000000000004
2009,14,2059,0.001,1.6200000000000003,1.6210000000000002
2010,13,2060,0.0008,1.6202000000000003,1.6210000000000002
2011,12,2061,0.0006000000000000001,1.6204000000000005,1.6210000000000004
2012,11,2062,0.0004,1.6206000000000005,1.6210000000000004
2013,10,2063,0.0002,1.6208000000000005,1.6210000000000004
2014,9,2064,0.0,1.6210000000000004,1.6210000000000004
2015,8,2065,0.0,1.6210000000000004,1.6210000000000004
