id,role,status,estimate,standard_error,synthetic_scale,candidate_diagonal_weight,date,geography,builder,sample,data_formula,fixed_effects,clustering,model_formula,adjustment,mismatch,production_eligible
acs_rooms_2005_2006,initial_calibration_restriction,empirical_verified__cap_operator_needed,5.561097376118652,0.08838120078007809,,128.02070205233477,2005-2006,42 MET2013 city codes; not admitted-PUMA footprint,output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py; summarize_early_housing.py,ACS household heads ages 18-85; occupied renter or owner; HHWT>0; 42 MET2013 cities; 2005-2006 pooled by summed HHWT numerator/denominator; inherits all common_acs_sample filters,"sum(HHWT*min(ROOMS,9))/sum(HHWT)",none,42 MET2013 city bootstrap,"Current extract_moments: aggregate_housing_demand/total_mass, all 17 age cells, uncapped. Proposed: weighted_mean(min(s,9)) on full g, observed at pre-announcement stationary solution.","Use g_current and full hR_pol before income collapse; cap each renter/owner observation, then aggregate. All 17 current four-year age cells already span 18-85: validate geometry rather than invent an extra age restriction.","Existing HistoricalMomentObserver is pinned to 2023 and old 12 rows. min(E[s|collapsed income],9) does not equal E[min(s,9)|income]; compute direct. The initial window and geographic approximation must be retained.",False
acs_ownership_30_55_2005_2006,initial_calibration_restriction,empirical_verified__age_and_structure_mapping_outstanding,0.6483340343191493,0.020675272863460718,,2339.3623724673616,2005-2006,42 MET2013 cities; not admitted-PUMA footprint,output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py; summarize_early_housing.py,ACS heads ages 30-55; DUE structures UNITSSTR 3:10; HHWT>0; 42 MET2013 cities; 2005-2006; inherits all common_acs_sample filters,sum(HHWT*owner)/sum(HHWT),none,42 MET2013 city bootstrap,"own_rate_3055=sum(g[owner tenures, ages 30:55])/sum(g[all tenures, ages 30:55])",Use owner indicator on full realized distribution with declared 30-55 age-exposure selector; pin the maintained DUE-to-model-product interpretation.,Current nearest-index mask includes full 54-57 cell; no structure-type state allows exact UNITSSTR filtering. Neither issue is resolved by changing the row name.,False
acs_recent_parent_owner_gap_2005_2006,initial_calibration_restriction,verified_empirical__irreducible_group_mismatch,0.16289550916123285,0.006079524679464666,,27055.822957508266,2005-2006,42 MET2013 cities; not admitted-PUMA footprint,output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py; summarize_early_housing.py,ACS heads ages 30-55; recent parent NCHILD>0 and ELDCH<4 minus NCHILD=0 controls; 42 MET2013 cities; 2005-2006; inherits all common_acs_sample filters; both groups also require UNITSSTR in 3:10,"Pr(owner|NCHILD>0,ELDCH<4)-Pr(owner|NCHILD=0)",none,42 MET2013 city bootstrap,"Under independent_count: Pr(owner | n>=1,m>0, current prime mask) - Pr(owner | n=0,childless readiness states,current prime mask). newparent_cs includes ALL positive dependent counts, with no recency condition.",Exact ACS recent-parent group and resident-child controls cannot be recovered from current count-only states. Do not substitute n=0 controls or all m>0 parents without an explicitly approved proxy contract; retain identifying row as blocked rather than silently dropping it.,"ELDCH is OLDEST resident own child: all resident own children must be under four. Model has no child ages or time since birth; independent binomial maturation has mean 18 years but no deterministic under-18 cutoff. ACS NCHILD=0 includes former parents with no own child resident, whereas model control is lifetime n=0. Adding m=0 controls would still conflate absent dependents with absent resident adult children.",False
acs_rooms_3plus_minus_1to2_2005_2006,initial_calibration_restriction,empirical_verified__resident_child_mapping_outstanding,0.3470669317962507,0.059705154633000496,,280.52808370152104,2005-2006,42 MET2013 cities; not admitted-PUMA footprint,output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py; summarize_early_housing.py,"ACS heads ages 30-55, YNGCH<18; NCHILD>=3 minus NCHILD=1-2; 42 MET2013 cities; 2005-2006; inherits all common_acs_sample filters","E[min(ROOMS,9)|NCHILD>=3,YNGCH<18]-E[min(ROOMS,9)|NCHILD=1-2,YNGCH<18]",none,42 MET2013 city bootstrap,"Current child_bin_high_cutoff=3 and independent_count use m=cs, subject to cs<=n: high group m>=3; low group 1<=m<=2. Existing moment is uncapped and uses current prime age mask. Proposed proxy: E[min(s,9)|m>=3]-E[min(s,9)|1<=m<=2], with declared age selector.",Cap full income-resolved renter and owner rooms before any collapse. Runtime-assert child_state_mode=independent_count and child_bin_high_cutoff=3. Need explicit resident-child approximation or richer observation information before SMM certification.,"ACS NCHILD counts ALL resident own children while YNGCH<18 requires at least one minor. Example: ages 4,19,21 is empirical large family but may be one model dependent. m has no deterministic child-age bound under binomial maturation. Verifying independent_count is necessary but insufficient for exact ACS group equivalence.",False
psid_wealth_gross_earnings_2003_2005,initial_calibration_restriction,verified_empirical__model_formula_available,6.14586139445743,0.36285515343369,,7.595098472533724,"PSID survey waves 2003 and 2005, not an audited same-calendar stock/flow date",national PSID,output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R (mirrors audit_aggregate_wealth_earnings_ratio.R),"PSID reference persons ages 18-85, relation_to_head=10, positive IW, finite NETWORTHR; working-age gross earnings required/nonnegative; 2003-2005; actual selected waves 2003 and 2005; 10,828 family-years/6,018 IDs in wealth, 9,265 family-years/5,215 IDs in earnings.",sum(IW*NETWORTHR)/sum_{age<=65}(IW*EARNINDRRC),none,reference-person ID bootstrap,"sum_x g_asset(x)*(b+1_owner*p*H) / sum_{j<J_R} g_asset(x)*[P.income(i,j)*z/((1-tau_pay)*4)]. All living 18-85 wealth cells; 12 working cells cover 18-65. P.income is already a four-year flow after payroll tax.",Observe the pre-announcement stationary state using coherent beginning-period g_asset; use actual pension-consistent parameters. Gross earnings formula and 18-65 cell coverage match the intended earnings concept; no automatic 2023 reuse.,RP/spouse household earnings is the intended labor-income concept. Missing within-wave wealth valuation versus earnings reference-year metadata remains a calendar certification limit; national household income normalization and selection on finite outcomes are maintained approximations.,False
psid_old_wealth_dispersion_2003_2005,initial_calibration_restriction,empirical_verified__age_income_mapping_outstanding,3.51593508651872,0.306910785103348,,10.616361531535473,PSID survey waves 2003 and 2005,national PSID,output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R (mirrors audit_intergen_bequest_family_size_targets.R),"Living PSID reference persons ages 76-84, relation_to_head=10, positive IW, completed children observed, INCFAMR>1000; p90/p50 of NETWORTHR/INCFAMR; 2003-2005; 644 valid family-years/416 IDs; bootstrap population 918 living reference IDs ages 65-84, before outcome/children filters.","Q_.90(NETWORTHR/INCFAMR)/Q_.50(NETWORTHR/INCFAMR), weighted",none,reference-person ID bootstrap,"Weighted p90/p50 of W/annual_gross_income_at_state using g_asset; annualization divides P income by 4, payroll gross-up only for workers. Existing old mask selects labels 78 and 82. Existing quantile algorithm matches R; no transaction wedge is subtracted from W.","Pin annual-age selection for 76-84; confirm household income mapping and empirical $1000 real-income cutoff in normalized model units. Observe initial stationary state, not 2023. Model quantile is available but sample/income equality is not established.","At these retirement ages model denominator is pension income (including configured z scaling), while PSID INCFAMR also includes transfers, asset income and other family components. Exact $1000 cutoff is not applied (only income>0), and observed-completed-children selection has no model missingness counterpart. Full 78/82 cells do not cover exactly 76-84.",False
external_annual_bequest_wealth,initial_calibration_restriction,externally_fixed__not_an_initial_microdata_observer,0.0088,,0.00044000000000000007,5165289.256198346,not a measured initial window,not applicable,No project microdata builder; provenance ledger identifies Gale-Scholz historical normalization transmitted through De Nardi-Yang,external restriction,annual bequest flow / aggregate wealth,none,none,"[sum_x (1-survival_j)*g_current(x)*max(bp_pol(x)+1_owner*p*H,0)/4] / sum_x g_asset(x)*(b+1_owner*p*H). Terminal death probability forced to 1; earlier death probabilities from survival. Debt/transaction timing must remain coherent.",Keep explicitly external or replace only with a separately identified bequest-block decision and Jacobian check.,"Borrowed historical annual aggregate flow is imperfectly matched to model mortality, nonnegative estates and forced terminal deaths; no initial PSID sample or empirical SE. Gale-Scholz/De Nardi-Yang provenance is inherited, not freshly reviewed literature.",False
psid_sa_first_birth_rooms,initial_calibration_restriction,verified_empirical_contrast__provisional_structural_mapping,0.7202462623815278,0.0852600513385958,,137.5652749002964,"Pooled PSID event-time -1 to +3; treated input observations 1970-2019, not an early-only regression",national PSID,code/data/psid_followup_mar2026/sa_rooms_first_birth_household_aligned_v1.do; finalize_first_birth_rooms_target_receipt.py,"Women age 18+, current reference/spouse, positive IW, single-FID dwelling, one woman per household-year; confirmed never-treated controls; 49,457 household-years, 4,112 persons","beta(event=+3)-beta(event=-1), omitted event=-2; person/year FE, age/education controls, longitudinal IW",person ID and survey year; age and education controls,"selected woman stable ID; one household-year observation, primary analytic cluster covariance","Select successful first births from initial g_pre; clone identical pre-birth states into treated n=1,m=1 and childless control. Advance both one period with origin policies/survival/income/maturation, then realize destination housing with destination policies. Treated may have continuation birth; control stays childless. Difference of destination uncapped rooms equals matched difference in changes.","For an initial stationary observer call begin_dated_first_birth_housing_branch then finish_dated_first_birth_housing_branch with the stationary policy as BOTH dates; retain destination continuation births and no Census age bridge. Do NOT use first_birth_housing_response sequential legacy helper, which suppresses continuation births. Certify the same paired branch with mass/timing checks.","Applying the unchanged pooled contrast to initial stationary economy requires approved stability approximation. Model matched-risk weights differ from estimator cohort/event weights. Non-flat prepath and normalization dependence remain disclosed; September5 normalization check changed point to .730459 with identical fitted values, not a replacement target. Four-year approximation is not literal observed -1/+3 child ages. Keep PSID rooms uncapped; do not import ACS cap.",False
acs_ownership_25_34_2005_2006,validation_only_not_scored,empirical_verified__age_and_structure_mapping_outstanding,0.4311583769004313,0.0210233345992212,,,2005-2006,42 MET2013 cities; not admitted-PUMA footprint,output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py; summarize_early_housing.py,Common ACS base; ages 25-34 and UNITSSTR 3:10,"Pr(owner|25<=AGE<=34,UNITSSTR in 3:10)",none,42 MET2013 city bootstrap,"Existing own_rate_2534 uses labels 26,30,34; need declared 25-34 age selector.",Use declared age-exposure observation weights and DUE interpretation; retain as validation.,Existing cells cover 26-37 rather than 25-34; DUE structure state absent.,False
psid_old_wealth_median_2003_2005,validation_only_not_scored,empirical_verified__age_income_mapping_outstanding,7.28579300191372,0.522531159397481,,,PSID survey waves 2003 and 2005,national PSID,output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R (mirrors audit_intergen_bequest_family_size_targets.R),"Living PSID reference persons ages 76-84, relation_to_head=10, positive IW, completed children observed, INCFAMR>1000; p90/p50 of NETWORTHR/INCFAMR; 2003-2005; 644 valid family-years/416 IDs; bootstrap population 918 living reference IDs ages 65-84, before outcome/children filters.",Weighted Q_.50(NETWORTHR/INCFAMR),none,reference-person ID bootstrap,Weighted Q_.50(W/annual_gross_income_at_state) using g_asset and declared old-age selector.,"Pin annual-age selection for 76-84; confirm household income mapping and empirical $1000 real-income cutoff in normalized model units. Observe initial stationary state, not 2023. Model quantile is available but sample/income equality is not established.","At these retirement ages model denominator is pension income (including configured z scaling), while PSID INCFAMR also includes transfers, asset income and other family components. Exact $1000 cutoff is not applied (only income>0), and observed-completed-children selection has no model missingness counterpart. Full 78/82 cells do not cover exactly 76-84.",False
