case_id,parameter,estimate,lower,upper,transform,near_bound,status,interpretation,analysis_status,checkpoint_sha256
baseline,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
