restriction_id,label,role,target,model,gap,model_available,model_observation,uncertainty_status,empirical_standard_error,synthetic_scale,reference_inverse_variance,reference_inverse_squared_synthetic_scale,actual_weight,weight_status,loss_contribution,calibrated_smm,definition,empirical_source_path,empirical_provenance_contract,empirical_provenance_contract_id,empirical_record_id,model_source_path,model_source_json_location,warning,empirical_builder
initial_normalization,Initial model completed fertility,normalization_separate_from_scored_objective,2.1,2.100032862890971,3.286289097070849e-05,True,final.normalization.completed_fertility,Author normalization; no empirical SE,,,,,,No active early weight profile approved; actual weight and loss contribution null,,False,"Author-selected stationary model normalization, using maintained top-parity representative; not empirical female period TFR",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/OVERNIGHT_PLAN.md,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/OVERNIGHT_PLAN.md,author_initial_model_fertility_2_1,author_2_1,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_smoke_summary.json,final.normalization.completed_fertility,Separate from CPS age-window stocks and actual birth/entry accounting.,"Author-selected model normalization, not empirical estimation"
cps_childlessness,"Childless women, ages 40–44",proposed_scored_restriction,0.19827875100684264,0.18058501851824132,-0.017693732488601316,True,fertility.uniform_birth_time.moments.childless_rate_40_44,annual_generalized_variance_approximation_recovered_pooled_covariance_not_certified,,,,,,No active early weight profile approved; actual weight and loss contribution null,,False,Weighted P(FREVER=0) among pooled June 2004 and June 2006 women age 40-44 with valid FREVER 0-20 and positive FRSUPPWT.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,early_cps_nchs_fertility_certification_20260911_v2_not_activated,cps_childless_women_40_44_2004_2006,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,fertility.uniform_birth_time.moments.childless_rate_40_44,Uniform birth-time parity interpolation is the main diagnostic; constant-post-cell sensitivity retained. Model household reproductive member is not certified female exposure; no empirical age reweighting.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/extract_fertility_availability.py; /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py
cps_exactly_one,"Exactly one child among mothers, ages 40–44",proposed_scored_restriction,0.21365532522014702,0.23323606686283196,0.019580741642684946,True,fertility.uniform_birth_time.moments.exactly_one_among_mothers_40_44,annual_generalized_variance_approximation_recovered_pooled_covariance_not_certified,,,,,,No active early weight profile approved; actual weight and loss contribution null,,False,Weighted P(FREVER=1 | FREVER>=1) in the same pooled CPS sample.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,early_cps_nchs_fertility_certification_20260911_v2_not_activated,cps_exactly_one_among_mothers_40_44_2004_2006,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,fertility.uniform_birth_time.moments.exactly_one_among_mothers_40_44,Uniform birth-time parity interpolation is the main diagnostic; constant-post-cell sensitivity retained. Model household reproductive member is not certified female exposure; no empirical age reweighting.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/extract_fertility_availability.py; /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py
nchs_mean_age,Period mean first-birth age,proposed_scored_restriction,25.976263860992496,26.585140795182383,0.6088769341898868,True,fertility.uniform_birth_time.moments.period_mean_age_first_birth,national_count_not_probability_sample,,,,,,No active early weight profile approved; actual weight and loss contribution null,,False,"Pooled national first-birth counts ages 12-49, 2003-2006; age <=21 mapped to midpoint 20, 22-25 to 24, ..., age >=42 to 44; count-weighted mean.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,early_cps_nchs_fertility_certification_20260911_v2_not_activated,nchs_period_mean_age_first_birth_2003_2006,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,fertility.uniform_birth_time.moments.period_mean_age_first_birth,"First-birth flow timing, not completed-cohort timing. Household maternal proxy; empirical under-18/over-45 tail collapse retained; raw builder residence and unknown-order comparability remain unresolved.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/build_first_birth_timing.R; /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py
nchs_share30,First births at age 30+,proposed_scored_restriction,0.2492780130410667,0.26516756649743256,0.015889553456365862,True,fertility.uniform_birth_time.moments.period_share_first_births_age30plus,national_count_not_probability_sample,,,,,,No active early weight profile approved; actual weight and loss contribution null,,False,"Pooled national first-birth counts ages 12-49, 2003-2006; exact maternal age >=30 divided by all first births in the pooled window.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,early_cps_nchs_fertility_certification_20260911_v2_not_activated,nchs_period_first_birth_share_age30plus_2003_2006,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,fertility.uniform_birth_time.moments.period_share_first_births_age30plus,"First-birth flow timing, not completed-cohort timing. Household maternal proxy; empirical under-18/over-45 tail collapse retained; raw builder residence and unknown-order comparability remain unresolved.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/build_first_birth_timing.R; /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py
wealth_earnings,Wealth / annual gross labor earnings,proposed_scored_restriction,6.14586139445743,6.096876962747856,-0.04898443170957467,True,housing_wealth.moments.aggregate_wealth_to_annual_gross_labor_earnings,person bootstrap,0.36285515343369,,7.595098472533724,,,No active early weight profile approved; actual weight and loss contribution null,,False,sum(IW*NETWORTHR)/sum_{age<=65}(IW*EARNINDRRC),/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/aggregate_wealth_results.csv,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,e5f_early_housing_wealth_observer_review_v2_20260911,psid_wealth_gross_earnings_2003_2005,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,housing_wealth.moments.aggregate_wealth_to_annual_gross_labor_earnings,National PSID household-income normalization; survey-wave stock/flow dates inherited RP/spouse household earnings is the intended labor-income concept. Missing within-wave wealth valuation versus earnings reference-year metadata remains a calendar certification limit; national household income normalization and selection on finite outcomes are maintained approximations.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R
bequest_wealth,Annual bequests / aggregate wealth,proposed_scored_restriction,0.0088,0.012368034993361301,0.0035680349933613006,True,housing_wealth.moments.annual_bequest_flow_to_aggregate_wealth,inherited synthetic five-percent calibration scale; NOT a standard error,,0.00044000000000000007,,5165289.256198346,,No active early weight profile approved; actual weight and loss contribution null,,False,annual bequest flow / aggregate wealth,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/tmp/e5f_matched_pf/code/model/intergen_eqscale_seq_optimized/e5_target_provenance.csv,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,e5f_early_housing_wealth_observer_review_v2_20260911,external_annual_bequest_wealth,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,housing_wealth.moments.annual_bequest_flow_to_aggregate_wealth,"External historical restriction; synthetic uncertainty; forced terminal deaths Borrowed historical annual aggregate flow is imperfectly matched to model mortality, nonnegative estates and forced terminal deaths; no initial PSID sample or empirical SE. Gale-Scholz/De Nardi-Yang provenance is inherited, not freshly reviewed literature.",No microdata builder; external literature normalization
old_dispersion,"Old wealth/income p90 / median, ages 76–84",proposed_scored_restriction,3.51593508651872,3.7297557246748427,0.21382063815612273,True,housing_wealth.moments.old_total_wealth_to_annual_income_p90_p50_7684,person bootstrap,0.306910785103348,,10.616361531535473,,,No active early weight profile approved; actual weight and loss contribution null,,False,"Q_.90(NETWORTHR/INCFAMR)/Q_.50(NETWORTHR/INCFAMR), weighted",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/old_wealth_results.csv,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,e5f_early_housing_wealth_observer_review_v2_20260911,psid_old_wealth_dispersion_2003_2005,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,housing_wealth.moments.old_total_wealth_to_annual_income_p90_p50_7684,"Uniform within-age-cell overlap for ages 76--84 Modeled pension plus configured lump-sum income proxy; not PSID total family income Empirical $1000 real-income and observed-child-history filters are not reproduced At these retirement ages model denominator is pension income (including configured z scaling), while PSID INCFAMR also includes transfers, asset income and other family components. Exact $1000 cutoff is not applied (only income>0), and observed-completed-children selection has no model missingness counterpart. Full 78/82 cells do not cover exactly 76-84. Actual model property-tax lump-sum transfer is zero in this receipt; proxy uses the configured pension-plus-transfer concept.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R
mean_rooms,"Mean occupied rooms, capped at 9",proposed_scored_restriction,5.561097376118652,6.246382336944046,0.6852849608253937,True,housing_wealth.moments.aggregate_mean_occupied_rooms_capped9_18_85,42-metro bootstrap,0.08838120078007809,,128.02070205233477,,,No active early weight profile approved; actual weight and loss contribution null,,False,"sum(HHWT*min(ROOMS,9))/sum(HHWT)",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/early_housing_target_candidates.csv,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,e5f_early_housing_wealth_observer_review_v2_20260911,acs_rooms_2005_2006,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,housing_wealth.moments.aggregate_mean_occupied_rooms_capped9_18_85,"Uniform annual-age exposure and constant policies/distribution within each four-year cell National model versus 42-MET2013 housing sample Existing HistoricalMomentObserver is pinned to 2023 and old 12 rows. min(E[s|collapsed income],9) does not equal E[min(s,9)|income]; compute direct. The initial window and geographic approximation must be retained.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py; /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/summarize_early_housing.py
ownership_30_55,"Ownership, heads 30–55",proposed_scored_restriction,0.6483340343191493,0.5747683591158299,-0.07356567520331936,True,housing_wealth.moments.own_rate_30_55,42-metro bootstrap,0.020675272863460718,,2339.3623724673616,,,No active early weight profile approved; actual weight and loss contribution null,,False,sum(HHWT*owner)/sum(HHWT),/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/early_housing_target_candidates.csv,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,e5f_early_housing_wealth_observer_review_v2_20260911,acs_ownership_30_55_2005_2006,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/initial_fit_readout/source_initial_measurement_summary.json,housing_wealth.moments.own_rate_30_55,Uniform annual-age exposure and constant policies/distribution within each four-year cell National model versus 42-MET2013 housing sample ACS DUE structure restriction is not represented by a model state Current nearest-index mask includes full 54-57 cell; no structure-type state allows exact UNITSSTR filtering. Neither issue is resolved by changing the row name.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py; /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/summarize_early_housing.py
