year,tfr_per_woman,source_url,table_number,printed_page,source_vintage,status
2003,2.0425,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,4,25,2010-08-09,proposal_not_active
2004,2.0455,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,4,25,2010-08-09,proposal_not_active
2005,2.0535,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,4,25,2010-08-09,proposal_not_active
2006,2.1005,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,4,25,2010-08-09,proposal_not_active
2007,2.1220,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,4,25,2010-08-09,sensitivity_not_active
2019,1.7060,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf,2,14,2025-03-18,sensitivity_not_active
2020,1.6415,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf,2,14,2025-03-18,proposal_not_active
2021,1.6640,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf,2,14,2025-03-18,proposal_not_active
2022,1.6565,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf,2,14,2025-03-18,proposal_not_active
2023,1.6210,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf,2,14,2025-03-18,proposal_not_active
