case,parameter,estimate,lower,upper,transform,near_bound,status,interpretation
old_old,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,inherited diagnostic point; not re-estimated,structural coordinate
old_old,kappa_fert,2.1681730392479377,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_old,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_old,chi,1.0537270178404272,0.1,5.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_old,H0,8.43484407788035,0.2,80.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_old,theta0,0.570349890219075,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
old_old,theta1,0.10372395059042462,0.02,16.0,log,True,inherited diagnostic point; not re-estimated,structural coordinate
old_old,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
old_old,h_P,0.7168500088318734,0.1,2.3,log,False,inherited diagnostic point; not re-estimated,mapped first-child requirement
old_old,hbar_child_rooms,0.24708490545163003,,,,False,old-utility diagnostic,
old_old,psi_child,0.2900515293650047,,,,False,fixed inherited intercept,
old_old,payroll_tax,0.179,,,,False,externally fixed,
old_old,pension_period,1.7183999999999993,,,,False,old-pension diagnostic,
old_old,housing_supply_elasticity,0.63,,,,False,externally fixed,
old_old,tenure_choice_kappa,0.005,,,,False,externally fixed,
old_old,alpha_cons,0.733,,,,False,externally fixed,
old_old,sigma,2.0,,,,False,externally fixed,
old_balanced,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,kappa_fert,2.1681730392479377,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,chi,1.0537270178404272,0.1,5.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,H0,8.43484407788035,0.2,80.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,theta0,0.570349890219075,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,theta1,0.10372395059042462,0.02,16.0,log,True,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
old_balanced,h_P,0.7168500088318734,0.1,2.3,log,False,inherited diagnostic point; not re-estimated,mapped first-child requirement
old_balanced,hbar_child_rooms,0.24708490545163003,,,,False,old-utility diagnostic,
old_balanced,psi_child,0.2900515293650047,,,,False,fixed inherited intercept,
old_balanced,payroll_tax,0.179,,,,False,externally fixed,
old_balanced,pension_period,2.0463613896121218,,,,False,budget derived,
old_balanced,housing_supply_elasticity,0.63,,,,False,externally fixed,
old_balanced,tenure_choice_kappa,0.005,,,,False,externally fixed,
old_balanced,alpha_cons,0.733,,,,False,externally fixed,
old_balanced,sigma,2.0,,,,False,externally fixed,
new_old,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,inherited diagnostic point; not re-estimated,structural coordinate
new_old,kappa_fert,2.1681730392479377,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_old,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_old,chi,1.0537270178404272,0.1,5.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_old,H0,8.43484407788035,0.2,80.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_old,theta0,0.570349890219075,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
new_old,theta1,0.10372395059042462,0.02,16.0,log,True,inherited diagnostic point; not re-estimated,structural coordinate
new_old,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
new_old,h_P,0.7168500088318734,0.1,2.3,log,False,inherited diagnostic point; not re-estimated,mapped first-child requirement
new_old,hbar_child_rooms,0.0,,,,False,zero restriction,
new_old,psi_child,0.2900515293650047,,,,False,fixed inherited intercept,
new_old,payroll_tax,0.179,,,,False,externally fixed,
new_old,pension_period,1.7183999999999993,,,,False,old-pension diagnostic,
new_old,housing_supply_elasticity,0.63,,,,False,externally fixed,
new_old,tenure_choice_kappa,0.005,,,,False,externally fixed,
new_old,alpha_cons,0.733,,,,False,externally fixed,
new_old,sigma,2.0,,,,False,externally fixed,
new_balanced,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,kappa_fert,2.1681730392479377,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,chi,1.0537270178404272,0.1,5.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,H0,8.43484407788035,0.2,80.0,log,False,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,theta0,0.570349890219075,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,theta1,0.10372395059042462,0.02,16.0,log,True,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,inherited diagnostic point; not re-estimated,structural coordinate
new_balanced,h_P,0.7168500088318734,0.1,2.3,log,False,inherited diagnostic point; not re-estimated,mapped first-child requirement
new_balanced,hbar_child_rooms,0.0,,,,False,zero restriction,
new_balanced,psi_child,0.2900515293650047,,,,False,fixed inherited intercept,
new_balanced,payroll_tax,0.179,,,,False,externally fixed,
new_balanced,pension_period,2.0463613896121218,,,,False,budget derived,
new_balanced,housing_supply_elasticity,0.63,,,,False,externally fixed,
new_balanced,tenure_choice_kappa,0.005,,,,False,externally fixed,
new_balanced,alpha_cons,0.733,,,,False,externally fixed,
new_balanced,sigma,2.0,,,,False,externally fixed,
