metric,observer_status,old_old,old_balanced,new_old,new_balanced,utility_effect_old_pension,utility_effect_balanced_pension,pension_effect_old_utility,pension_effect_new_utility,interaction,combined_change
asset_price,raw model accounting diagnostic,0.6255243707133863,0.6344972419266949,0.6244062641679673,0.6333286020236512,-0.0011181065454189953,-0.0011686399030437222,0.008972871213308586,0.00892233785568386,-5.053335762472688e-05,0.007804231310264864
fiscal.implied_balanced_payroll_tax,raw model accounting diagnostic,0.15031245293218923,0.17900000025250515,0.1503124532644375,0.17899999996747679,3.322482844403396e-10,-2.850283620237093e-10,0.02868754732031592,0.028687546703039274,-6.172766464640489e-10,0.02868754703528756
fiscal.implied_balanced_pension_period,raw model accounting diagnostic,2.0463613892241197,2.0463613867254358,2.0463613847008744,2.046361389983933,-4.523245333842851e-09,3.258497027758267e-09,-2.498683926432932e-09,5.283058435168186e-09,7.781742361601118e-09,7.598131013253351e-10
fiscal.payroll_tax_base_period,raw model accounting diagnostic,2.963205897640398,2.9632058948502387,2.963205894691258,2.9632058948660625,-2.949140043284615e-09,1.582378672537743e-11,-2.7901592147827614e-09,1.748046152272309e-10,2.9649638300099923e-09,-2.774335428057384e-09
fiscal.payroll_tax_rate,raw model accounting diagnostic,0.179,0.179,0.179,0.179,0.0,0.0,0.0,0.0,0.0,0.0
fiscal.payroll_tax_revenue,raw model accounting diagnostic,0.5304138556776312,0.5304138551781927,0.5304138551497352,0.5304138551810251,-5.278960601984295e-10,2.8324009804236994e-12,-4.994384905643301e-10,3.12899706145231e-11,5.307284611788532e-10,-4.966060895839064e-10
fiscal.pension_budget_residual,raw model accounting diagnostic,0.08500710866017336,-7.482247044166002e-10,0.08500710759104968,9.637290965258671e-11,-1.0691236784765579e-09,8.445976140691869e-10,-0.08500710940839806,-0.08500710749467677,1.9137212925457447e-09,-0.08500710856380045
fiscal.pension_outlays,raw model accounting diagnostic,0.44540674701745786,0.5304138559264174,0.4454067475586855,0.5304138550846522,5.412276182781284e-10,-8.417652130887632e-10,0.08500710890895957,0.08500710752596674,-1.3829928313668916e-09,0.08500710806719436
fiscal.pension_period_units,raw model accounting diagnostic,1.7183999999999993,2.0463613896121218,1.7183999999999993,2.0463613896121218,0.0,0.0,0.3279613896121225,0.3279613896121225,0.0,0.3279613896121225
fiscal.retiree_benefit_exposure,raw model accounting diagnostic,0.25919852596453563,0.259198526036965,0.25919852627949586,0.25919852562561774,3.1496022456778405e-10,-4.1134728956393474e-10,7.242939581431074e-11,-6.538781183174081e-10,-7.263075141317188e-10,-3.38917893749624e-10
fiscal.retiree_household_mass,raw model accounting diagnostic,0.25919852596453563,0.259198526036965,0.25919852627949586,0.25919852562561774,3.1496022456778405e-10,-4.1134728956393474e-10,7.242939581431074e-11,-6.538781183174081e-10,-7.263075141317188e-10,-3.38917893749624e-10
fiscal.scaled_pension_budget_residual,raw model accounting diagnostic,0.1602656260771551,-1.4106432101208135e-09,0.16026562422101942,1.816938013802365e-10,-1.8561356895929748e-09,1.59233701150105e-09,-0.16026562748779832,-0.16026562403932562,3.4484727018391226e-09,-0.1602656258954613
fiscal.worker_household_mass,raw model accounting diagnostic,0.7408014740352391,0.7408014739628195,0.7408014737202555,0.740801474374164,-3.149835947624524e-10,4.113445140063732e-10,-7.241962585169404e-11,6.539084829171316e-10,7.263281087688256e-10,3.3892488815467914e-10
legacy_moment.aggregate_mean_occupied_rooms_18_85,legacy stationary diagnostic,6.416634433864621,6.474423739401222,6.409470758191163,6.466953848434916,-0.007163675673457881,-0.00746989096630557,0.057789305536601,0.05748309024375331,-0.0003062152928476891,0.05031941457029543
legacy_moment.aggregate_own_rate,legacy stationary diagnostic,0.6437097187758252,0.6205777423799418,0.6454663751918984,0.6214547704686341,0.0017566564160732545,0.0008770280886922777,-0.02313197639588338,-0.024011604723264357,-0.0008796283273809768,-0.022254948307191103
legacy_moment.aggregate_wealth_to_annual_gross_labor_earnings,legacy stationary diagnostic,6.443720433084367,6.093623216940625,6.444366435103341,6.094561436185412,0.0006460020189740234,0.0009382192447873194,-0.3500972161437428,-0.3498049989179295,0.000292217225813296,-0.34915899689895546
legacy_moment.aggregate_wealth_to_annual_gross_labor_earnings_26_35,legacy stationary diagnostic,1.6237694462218057,1.5653596421670812,1.6182987158977875,1.5601400695535286,-0.005470730324018236,-0.005219572613552659,-0.05840980405472451,-0.058158646344258935,0.0002511577104655771,-0.06362937666827717
legacy_moment.aggregate_wealth_to_annual_gross_labor_earnings_36_45,legacy stationary diagnostic,3.3331902145000343,3.198210075480339,3.3303074647519813,3.1955794446944084,-0.002882749748053026,-0.00263063078593051,-0.1349801390196954,-0.1347280200575729,0.00025211896212251617,-0.13761076980562592
legacy_moment.aggregate_wealth_to_annual_gross_labor_earnings_46_55,legacy stationary diagnostic,5.567231263707847,5.288689732998222,5.570163199432754,5.291856979607639,0.002931935724906687,0.0031672466094168072,-0.2785415307096253,-0.27830621982511516,0.0002353108845101204,-0.2753742841002085
legacy_moment.aggregate_wealth_to_annual_gross_labor_earnings_56_65,legacy stationary diagnostic,7.523181444772617,7.0461784874966105,7.527363028308329,7.050627790545287,0.0041815835357121856,0.004449303048676967,-0.4770029572760066,-0.47673523776304183,0.00026771951296478136,-0.47255365422732964
legacy_moment.annual_bequest_flow_to_aggregate_wealth,legacy stationary diagnostic,0.011712530139332237,0.01236311639356548,0.011718345679699926,0.012368952308913246,5.815540367689123e-06,5.835915347767243e-06,0.000650586254233242,0.0006506066292133201,2.0374980078119442e-08,0.0006564221695810092
legacy_moment.childless_chosen_45,legacy stationary diagnostic,0.10799240332307808,0.10779313359554317,0.10582495436296534,0.10559945827176422,-0.0021674489601127417,-0.002193675323778954,-0.00019926972753490924,-0.00022549609120112168,-2.622636366621245e-05,-0.0023929450513138634
legacy_moment.childless_clock_45,legacy stationary diagnostic,0.05376648693406086,0.05376325839455583,0.053105332245720824,0.05309326246379782,-0.0006611546883400349,-0.000669995930758005,-3.22853950503188e-06,-1.206978192300201e-05,-8.84124241797013e-06,-0.0006732244702630369
legacy_moment.childless_rate,legacy stationary diagnostic,0.15680863202881806,0.15653512844152992,0.15439973159279027,0.15410169478862215,-0.002408900436027789,-0.0024334336529077683,-0.00027350358728814306,-0.0002980368041681225,-2.4533216879979447e-05,-0.0027069372401959113
legacy_moment.housing_increment_0to1,legacy stationary diagnostic,0.3880589296966289,0.3869869740222252,0.38228284445399685,0.38048094682072164,-0.0057760852426320675,-0.006506027201503561,-0.0010719556744037129,-0.0018018976332752068,-0.0007299419588714939,-0.007577982875907274
legacy_moment.housing_increment_1to2,legacy stationary diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_moment.housing_user_cost_share,legacy stationary diagnostic,0.23109115025774216,0.22973205504574704,0.23042054750301583,0.22904436028150668,-0.0006706027547263294,-0.0006876947642403541,-0.0013590952119951205,-0.0013761872215091453,-1.7092009514024786e-05,-0.0020467899762354747
legacy_moment.liquid_wealth_to_income,legacy stationary diagnostic,0.8707257683132191,0.781197842935059,0.8740158489174839,0.7860502796643016,0.0032900806042647224,0.004852436729242626,-0.08952792537816012,-0.08796556925318222,0.0015623561249779039,-0.0846754886489175
legacy_moment.market_residual,legacy stationary diagnostic,3.6396329531685006e-07,7.375829549934573e-06,9.704067929006438e-06,3.6911095738992995e-07,9.340104633689588e-06,-7.006718592544643e-06,7.011866254617723e-06,-9.334956971616509e-06,-1.6346823226234234e-05,5.147662073079891e-09
legacy_moment.mean_age_first_birth,legacy stationary diagnostic,26.81690114201719,26.817785746661112,26.78240422675086,26.78291905329079,-0.03449691526633103,-0.03486669337032211,0.0008846046439217048,0.000514826539930624,-0.0003697781039910808,-0.033982088726400406
legacy_moment.mean_completed_fertility,legacy stationary diagnostic,1.8826801206167096,1.8838131346786222,1.89360507879869,1.894833476863186,0.01092495818198036,0.011020342184563825,0.001133014061912574,0.001228398064496039,9.538400258346513e-05,0.012153356246476399
legacy_moment.old_2plus_minus_1_total_estate_wealth_to_annual_income_median_gap_6575,legacy stationary diagnostic,1.6572859748357747,1.3637364781142427,1.3155050280171299,1.1121843645623102,-0.3417809468186448,-0.2515521135519325,-0.29354949672153197,-0.2033206634548197,0.09022883326671227,-0.5451016102734645
legacy_moment.old_age_own_rate,legacy stationary diagnostic,0.9145657329513145,0.8898900215891697,0.9148988931453698,0.8893306250127673,0.00033316019405527086,-0.0005593965764024711,-0.024675711362144748,-0.02556826813260249,-0.000892556770457742,-0.02523510793854722
legacy_moment.old_age_parent_childless_gap,legacy stationary diagnostic,0.06958101301074082,0.06569866942417313,0.06655675495971136,0.06310197808777995,-0.0030242580510294603,-0.0025966913363931754,-0.0038823435865676936,-0.0034547768719314087,0.00042756671463628493,-0.006479034922960869
legacy_moment.old_age_parent_childless_gap_6575,legacy stationary diagnostic,0.06958101301074082,0.06569866942417313,0.06655675495971136,0.06310197808777995,-0.0030242580510294603,-0.0025966913363931754,-0.0038823435865676936,-0.0034547768719314087,0.00042756671463628493,-0.006479034922960869
legacy_moment.old_minus_young_owner_rate_6575_2534,legacy stationary diagnostic,0.5403889938711577,0.530961507089688,0.5373723360760073,0.5284013055624002,-0.003016657795150368,-0.002560201527287864,-0.009427486781469652,-0.008971030513607148,0.00045645626786250393,-0.011987688308757516
legacy_moment.old_nonhousing_ge_1x_income_share_6575,legacy stationary diagnostic,0.602859374402252,0.5102648142560869,0.6040349475844355,0.5113553960017879,0.0011755731821835314,0.0010905817457009803,-0.09259456014616507,-0.09267955158264762,-8.499143648255103e-05,-0.09150397840046409
legacy_moment.old_nonhousing_wealth_to_income_6575,legacy stationary diagnostic,8.381875284004831,5.959917268665675,8.403552595708678,5.982437414167391,0.021677311703847124,0.02252014550171566,-2.421958015339156,-2.4211151815412872,0.0008428337978685363,-2.39943786983744
legacy_moment.old_nonhousing_wealth_to_income_median_6575,legacy stationary diagnostic,1.6781429994370096,1.1364470650952034,1.6781429994370096,1.1364470650952034,0.0,0.0,-0.5416959343418062,-0.5416959343418062,0.0,-0.5416959343418062
legacy_moment.old_owner_rate,legacy stationary diagnostic,0.9145657329513145,0.8898900215891697,0.9148988931453698,0.8893306250127673,0.00033316019405527086,-0.0005593965764024711,-0.024675711362144748,-0.02556826813260249,-0.000892556770457742,-0.02523510793854722
legacy_moment.old_parent_childless_nonhousing_wealth_to_income_gap_6575,legacy stationary diagnostic,2.1703497897179957,1.6133008217471438,2.0797147101474307,1.546383379792645,-0.09063507957056505,-0.06691744195449889,-0.5570489679708519,-0.5333313303547857,0.023717637616066156,-0.6239664099253508
