age_lower,age_upper,households,hhwt,capped_rooms,owners,with_minor,owner_with_minor,ownership_rate,with_minor_rate,mean_capped_rooms
18,21,5764,677967.0,2794527.0,70958.0,147867.0,16754.0,0.1046629113216425,0.2181035360128148,4.121921863453531
22,25,18907,2166037.0,9158402.0,438747.0,624375.0,139301.0,0.20255748170506782,0.2882568487980584,4.228183544417755
26,29,28993,3267283.0,15358083.0,1196253.0,1333733.0,526255.0,0.36613081878735326,0.4082085941132127,4.700567107287615
30,33,32679,3859100.0,19687489.0,1871488.0,2048404.0,1107214.0,0.48495452307532844,0.5307983726775674,5.101575237749734
34,37,39645,4633047.0,25637212.0,2664718.0,2931321.0,1856827.0,0.5751545365285524,0.6326983084782002,5.533553188646694
38,41,41088,4691901.0,27022908.0,2951129.0,2992480.0,2100656.0,0.6289836465006401,0.6377969185624335,5.759479579812106
42,45,46051,5048259.0,29870081.0,3431805.0,2911698.0,2213378.0,0.6797997091670613,0.5767727052039129,5.916907393222099
46,49,47562,5062999.0,30256135.0,3581088.0,2292669.0,1814427.0,0.7073056897700355,0.45282825455821735,5.975931458805344
50,53,46935,4710459.0,28064721.0,3430061.0,1315105.0,1055922.0,0.7281797803568612,0.279188291417036,5.957958874071507
54,57,43007,4212498.0,25039448.0,3159719.0,583890.0,473752.0,0.7500820178430945,0.1386089678855634,5.944085433393678
58,61,39609,3780790.0,22447213.0,2896389.0,220141.0,176124.0,0.7660803694465972,0.05822619082255296,5.937175299342201
62,65,31138,2890456.0,16930601.0,2248867.0,76035.0,58775.0,0.7780319091520508,0.026305537949721427,5.857415231368337
66,69,24677,2229862.0,12672245.0,1718949.0,23840.0,17922.0,0.7708768524688971,0.010691244570291794,5.682972757955425
70,73,21211,1897305.0,10655402.0,1480601.0,12349.0,9091.0,0.7803705782675954,0.006508705769499369,5.616072270931664
74,77,19345,1701693.0,9317525.0,1312516.0,3265.0,2822.0,0.771300111124627,0.0019186774582724382,5.475444160609464
78,81,17109,1493564.0,7964858.0,1129859.0,2752.0,1681.0,0.7564851589888347,0.0018425725312072332,5.3327865427929435
82,85,12936,1133507.0,5830554.0,820672.0,266.0,166.0,0.7240114088399984,0.00023466992263832513,5.143818256084876
