candidate,period,calendar_year,age_index,age_cell_start,age_cell_midpoint,age,age_mass,birth_flow_first,birth_flow_second,birth_flow_third_bin_entry,birth_flow_explicit,birth_flow_topcode_adjusted,childless_at_risk_mass,first_birth_hazard,first_birth_rate_all_households,age_specific_birth_rate_explicit,age_specific_birth_rate_topcode_adjusted
task_001,0,2007.0,0,18.0,20.0,20.0,0.016622662021820233,0.00436933614016941,0.0,0.0,0.00436933614016941,0.00436933614016941,0.016622662021820233,0.2628541766916677,0.2628541766916677,0.2628541766916677,0.2628541766916677
task_001,0,2007.0,1,22.0,24.0,24.0,0.045296767195712115,0.009289069997574964,0.0036129936959629115,0.0,0.012902063693537875,0.012902063693537875,0.033390322745109315,0.27819647232776556,0.2050713676196805,0.2848340950644975,0.2848340950644975
task_001,0,2007.0,2,26.0,28.0,28.0,0.06359694782099236,0.009544644205378245,0.00864685243223643,0.0009200923177901894,0.01911158895540487,0.019665815232143887,0.033838311420036744,0.28206620853210057,0.15008022448252945,0.3005111032875139,0.3092257711407419
task_001,0,2007.0,3,30.0,32.0,32.0,0.06696559869635525,0.006705243391904405,0.010770617898612169,0.0029215636590839795,0.020397424949600555,0.02215725634664888,0.02558047238950346,0.2621235171034525,0.10012967139005587,0.30459557364803685,0.33087520724062214
task_001,0,2007.0,4,34.0,36.0,36.0,0.07884514768615973,0.004865147780060762,0.011646294044299012,0.006627226488589466,0.023138668312949237,0.027130640630138723,0.022223652856250633,0.21891755651197498,0.06170510073018453,0.2934697821234589,0.3441003210258577
task_001,0,2007.0,5,38.0,40.0,40.0,0.0807289356467535,0.0030690761703830454,0.008239768235956247,0.009479835916660325,0.020788680322999617,0.02649894880649929,0.01777323885248563,0.17267962220368335,0.03801705232201297,0.2575121318824873,0.32824598261088234
task_001,0,2007.0,6,42.0,44.0,44.0,0.0896829554861336,0.0022916309706253624,0.004681544959613041,0.00907391525356228,0.016047091183800682,0.02151284953129511,0.016335069412289207,0.14028902557961104,0.02555258084664354,0.17893133758601226,0.23987667907110102
task_001,0,2007.0,7,46.0,48.0,48.0,0.0911550050015466,0.0,0.0,0.0,0.0,0.0,0.0142739464063378,0.0,0.0,0.0,0.0
task_001,0,2007.0,8,50.0,52.0,52.0,0.08684345526254479,0.0,0.0,0.0,0.0,0.0,0.013598801588954962,0.0,0.0,0.0,0.0
task_001,0,2007.0,9,54.0,56.0,56.0,0.07812470544072944,0.0,0.0,0.0,0.0,0.0,0.01223353407417749,0.0,0.0,0.0,0.0
task_001,0,2007.0,10,58.0,60.0,60.0,0.07104778040230766,0.0,0.0,0.0,0.0,0.0,0.01112535961223508,0.0,0.0,0.0,0.0
task_001,0,2007.0,11,62.0,64.0,64.0,0.056616964469681154,0.0,0.0,0.0,0.0,0.0,0.008865640644409032,0.0,0.0,0.0,0.0
task_001,0,2007.0,12,66.0,68.0,68.0,0.045052321365549264,0.0,0.0,0.0,0.0,0.0,0.007054735190120107,0.0,0.0,0.0,0.0
task_001,0,2007.0,13,70.0,72.0,72.0,0.038891086041813475,0.0,0.0,0.0,0.0,0.0,0.006089948418080908,0.0,0.0,0.0,0.0
task_001,0,2007.0,14,74.0,76.0,76.0,0.0354838130890434,0.0,0.0,0.0,0.0,0.0,0.005556404130895139,0.0,0.0,0.0,0.0
task_001,0,2007.0,15,78.0,80.0,80.0,0.0312881750520973,0.0,0.0,0.0,0.0,0.0,0.004899409908416353,0.0,0.0,0.0,0.0
task_001,0,2007.0,16,82.0,84.0,84.0,0.023757679320773394,0.0,0.0,0.0,0.0,0.0,0.003720210895876593,0.0,0.0,0.0,0.0
