cell,form,psi_child,kappa_fert,gamma_e,CF,childless,joint_distance,own_family_gap,share_3plus,pp12_flow,pp23_flow,mean_age_first_birth,market_residual
1,power,-0.5,0.5,0.0,0.18476236216697453,0.8227549675145551,12.216399386832974,0.08288904115186979,0.00020303398418043366,0.04080837691452487,0.02807018937492378,33.62581918898638,2.908551955708348e-07
2,power,-0.5,1.0,0.0,0.6489112087507288,0.4616341503009724,2.5562937204991663,0.06688624554408895,0.011585434604881087,0.1752075296829629,0.12282366731492894,29.894395570037616,1.5365857771860866e-06
3,power,-0.5,1.8,0.0,1.0322728476432463,0.2578073547136842,0.3511320744062377,0.0690844920823761,0.047121076283707014,0.30195758056714,0.21025804257577665,27.956026926006576,9.842106817863189e-06
4,power,-0.5,3.0,0.0,1.2536014315029007,0.17327876753153232,0.12612576018468064,0.0733776212326025,0.08230772477561477,0.3769703410996004,0.2641036010521501,26.91903205300606,6.673822441545994e-07
5,power,-0.5,6.0,0.0,1.4213687548019462,0.12273986200536928,0.18754381294212003,0.07819571419723642,0.11688523410152796,0.43370178670295884,0.3072133219052811,26.131054344720397,5.267963471340317e-06
6,power,-0.5,10.0,0.0,1.487048937522344,0.10581141117468472,0.2416051085716665,0.0804051738853066,0.1323659426619971,0.4557741332034695,0.32478611874345686,25.817855943939126,4.563491228624539e-06
7,power,-0.5,15.9109,0.0,1.523036010191407,0.09717741498835455,0.27578957632567674,0.08180329580716578,0.1413247656418948,0.46782032274607244,0.334608350402355,25.644562063541485,1.2662421436424544e-05
8,power,0.0,0.5,0.0,1.4042147285280187,0.1239240551250993,0.18792204494123482,0.09077263773264793,0.11238864848005117,0.4232449006189078,0.30310210966596257,26.278389590376204,5.9252648291304e-06
9,power,0.0,1.0,0.0,1.4939848709312007,0.10255599319490216,0.2554332190869369,0.08753222178820746,0.1337952831727408,0.45599220136263335,0.32694599855363604,25.81551742430057,5.3199964750207615e-06
10,power,0.0,1.8,0.0,1.5336294494844473,0.09390518653032467,0.2906654414645427,0.08611441571077239,0.14388980664529236,0.47024759466115607,0.3376990206422673,25.609967199421778,8.334637140038457e-06
11,power,0.0,3.0,0.0,1.5533300465275461,0.08977722955191711,0.30911560446384434,0.08532575883902926,0.1490534952847447,0.47728138251562857,0.3430994127164772,25.507453760577068,1.3557500921555465e-05
12,power,0.0,6.0,0.0,1.5680396157014411,0.08676766003255272,0.3232418781119468,0.08477157658896284,0.15297326665475292,0.48251105728566457,0.3471578482666501,25.43072976105302,3.622326650986237e-06
13,power,0.0,10.0,0.0,1.5739055029909048,0.08558455179038159,0.32895210148361753,0.08455710042810038,0.15455173938199346,0.4845911342334672,0.34878265414959664,25.40008581044499,3.896919326618709e-06
14,power,0.0,15.9109,0.0,1.577169621434541,0.08493039478875311,0.33214754708786326,0.08442639975277283,0.1554338942752145,0.4857472722185076,0.34968840159549114,25.38302160604684,4.7400859055698005e-06
15,power,0.5,0.5,0.0,2.3784218427154924,0.0013027406383910737,1.043814564660904,0.1852525763060277,0.4675250104343921,0.726135535171598,0.644693510976607,20.81177818878974,5.806619564856049e-06
16,power,0.5,1.0,0.0,2.141082191863889,0.009682764460057275,0.9131725053151443,0.1378699013931171,0.3533787044844788,0.6624491087964971,0.5386584978791965,22.356296769054055,1.6661507346842132e-05
17,power,0.5,1.8,0.0,1.9441652540755519,0.02588960114964555,0.7437290354727332,0.11414265238231097,0.27303128994942205,0.6034337081303108,0.4644881895681134,23.49501769501038,1.4951536239780984e-05
18,power,0.5,3.0,0.0,1.8151631845853187,0.04205476683897952,0.6055233203586857,0.10108330513850605,0.2271374891559544,0.5628980112901361,0.4212291572334713,24.188111710728517,6.734524655024224e-08
19,power,0.5,6.0,0.0,1.7044330834912313,0.05982071022521897,0.47725623948237894,0.09218575158835302,0.19175731792379017,0.5273393636985343,0.3867684805750787,24.755200452106237,8.364686848324393e-06
20,power,0.5,10.0,0.0,1.65696814946455,0.06860578227963197,0.42184313279775393,0.08885957564970176,0.17768277030315444,0.5119401048276545,0.3726427074393217,24.99148817521022,1.145015177548034e-05
21,power,0.5,15.9109,0.0,1.6297865131063567,0.07396497966816008,0.3905066513033457,0.08704553935085269,0.16991044687095236,0.5030877419076492,0.36471106244387314,25.12515738499517,7.5345795142338445e-06
22,power,1.0,0.5,0.0,2.539670417169,6.922156226749238e-05,1.1043203011247336,0.2086838438288468,0.5553919382256677,0.7622436902198478,0.7286782364886502,19.397667852327825,6.957174712707216e-06
23,power,1.0,1.0,0.0,2.396847116701853,0.0010449136766370575,1.0512447058811543,0.17876708657759843,0.4769598332593019,0.7309120032064003,0.6532369618101701,20.655142454412626,4.858968119675677e-06
24,power,1.0,1.8,0.0,2.201228939477184,0.006614062583471219,0.9526814501712692,0.14189106182549382,0.3803486154518185,0.6798515203411158,0.5631832859729216,21.97150051511518,1.7847099478668223e-05
25,power,1.0,3.0,0.0,2.0200065909433,0.018634920198540142,0.8144098423731125,0.11741212551088726,0.3023889107427534,0.6269807722930463,0.4914519213452405,23.059844937155198,1.0586042402250059e-06
26,power,1.0,6.0,0.0,1.8275104298156157,0.04044782060291615,0.6182185605186208,0.10086725757661158,0.23130096668005562,0.5670737961829078,0.4250786294390313,24.118449899545396,1.167981937492549e-05
27,power,1.0,10.0,0.0,1.7355208559161241,0.054568997770688576,0.5127816598954904,0.09356616594105471,0.20133344525526778,0.5375569756057242,0.39615175376709943,24.595186285723393,1.1865116020255241e-05
28,power,1.0,15.9109,0.0,1.6807004599290993,0.06420694102408137,0.4488948665179647,0.08991017661308748,0.18464827373821902,0.5197728417859941,0.37962241417427955,24.871756838188723,1.3437662002025211e-05
29,power,1.5,0.5,0.0,2.578523415422736,1.2220583642014926e-05,1.1184685072608787,0.2090546001101311,0.5783678924209283,0.7688299821613712,0.7522794020680623,18.809881485250436,1.0770742747135386e-05
30,power,1.5,1.0,0.0,2.4976518223681463,0.00019982562678407968,1.0892103194131815,0.19523981741022084,0.5315187613098133,0.753876023394386,0.7051888850062864,19.827382478242818,7.096700902921071e-06
31,power,1.5,1.8,0.0,2.3480257212818954,0.0018647213834447622,1.030528925927628,0.16564752044791203,0.45160252189483696,0.7189876230823374,0.6292823322037054,20.9976310154251,1.706500120832454e-05
32,power,1.5,3.0,0.0,2.169915311555592,0.00818813665872508,0.9320400136304877,0.13524032133602182,0.36603987386073,0.6711430364246199,0.5499003676144949,22.162798994251396,1.515737522255947e-05
33,power,1.5,6.0,0.0,1.9358556034137964,0.026986701168249104,0.7335996363083818,0.1097925542298061,0.26986540132197673,0.6012566775864369,0.46128413725947803,23.531538253253913,1.7309839891575996e-05
34,power,1.5,10.0,0.0,1.8090643261987407,0.04312292610795066,0.5970852389687862,0.09857482282203522,0.22508951519629217,0.5612653342078869,0.4191127734623473,24.214001178796828,5.235139790215038e-07
35,power,1.5,15.9109,0.0,1.7297595213368466,0.055573066288169166,0.5058096386135608,0.09288479266620603,0.19954158065529895,0.5357475061422916,0.39437092140414426,24.623566199541525,1.2613220787131785e-05
36,power,2.0,0.5,0.0,2.590724324366982,3.4866778001308835e-06,1.1229832859066078,0.2066824810656177,0.5859356824694687,0.7704205412258139,0.7605427088301463,18.508757414700373,1.4667154331571117e-05
37,power,2.0,1.0,0.0,2.543802012560173,6.004975927272689e-05,1.1058188831771891,0.2003809959230754,0.5577310325735542,0.7630844396173304,0.7309342160016197,19.335390190017677,8.292658834758653e-06
38,power,2.0,1.8,0.0,2.43350528237978,0.0006285851221030104,1.0655626558030424,0.18095489034109413,0.49636109671072626,0.739693290938697,0.6714584312015502,20.366752948944296,2.1938395140395103e-06
39,power,2.0,3.0,0.0,2.276767876554741,0.0037063048976315916,0.995948749796098,0.15135882895534458,0.41605389409485216,0.7005953497838339,0.5960668349907857,21.477764634281534,1.2096414363877788e-05
