arm,parameter,estimate,lower_bound,upper_bound,transform,distance_to_nearest_bound,distance_as_share_of_range,near_bound_2pct,near_bound_side,external_restriction,external_restriction_satisfied
floor,beta_annual,0.9946337108345589,0.94,0.9995,discount,0.004866289165441184,0.08178637252842312,False,,>= 0.94,True
floor,psi_child,0.0,0.0,3.0,asinh,0.0,0.0,True,lower,,
floor,kappa_fert,2.9868403225209876,0.02,50.0,log,2.9668403225209876,0.05936055067068803,False,,,
floor,kappa_fert_continuation,1.7133240302362214,0.02,50.0,log,1.6933240302362214,0.03388003261777154,False,,,
floor,chi,1.0369353042009588,0.1,5.0,log,0.9369353042009588,0.19121128657162423,False,,,
floor,H0,9.873032233988866,0.2,80.0,log,9.673032233988867,0.12121594278181537,False,,,
floor,theta0,0.15935051857132962,0.0,8.0,softzero,0.15935051857132962,0.019918814821416202,True,lower,,
floor,theta1,0.09373031820629316,0.02,16.0,log,0.07373031820629315,0.004613912278241123,True,lower,,
floor,hbar_child_rooms,0.6136054836829904,0.1,1.8,log,0.5136054836829904,0.30212087275470023,False,,,
tilt,beta_annual,0.993727877211755,0.94,0.9995,discount,0.0057721227882450155,0.09701046702932782,False,,>= 0.94,True
tilt,delta_alpha,0.016919064055173332,0.0,0.25,softzero,0.016919064055173332,0.06767625622069333,False,,,
tilt,delta_alpha_jump,0.020343726107523653,0.0,0.25,softzero,0.020343726107523653,0.08137490443009461,False,,,
tilt,psi_child,0.00025791307213917665,0.0,3.0,asinh,0.00025791307213917665,8.597102404639222e-05,True,lower,,
tilt,kappa_fert,3.566256232941394,0.02,50.0,log,3.546256232941394,0.07095350606125238,False,,,
tilt,kappa_fert_continuation,1.7744899468159896,0.02,50.0,log,1.7544899468159896,0.0351038404725088,False,,,
tilt,chi,1.0420421718957937,0.1,5.0,log,0.9420421718957938,0.19225350446852932,False,,,
tilt,H0,7.43944475444815,0.2,80.0,log,7.23944475444815,0.09071985907829762,False,,,
tilt,theta0,0.1645103243301698,0.0,8.0,softzero,0.1645103243301698,0.020563790541271224,False,,,
tilt,theta1,0.08602194808620833,0.02,16.0,log,0.06602194808620833,0.00413153617560753,True,lower,,
chain6,beta_annual,0.9933099322887542,0.94,0.9995,discount,0.006190067711245861,0.10403475144951009,False,,>= 0.94,True
chain6,delta_alpha,0.016992184818234828,0.0,0.25,softzero,0.016992184818234828,0.06796873927293931,False,,,
chain6,delta_alpha_jump,0.021301550909082177,0.0,0.25,softzero,0.021301550909082177,0.0852062036363287,False,,,
chain6,psi_child,-0.5575846072214437,-3.0,3.0,asinh,2.4424153927785563,0.4070692321297594,False,,,
chain6,kappa_fert,2.6105151099445743,0.02,50.0,log,2.5905151099445742,0.05183103461273658,False,,,
chain6,kappa_fert_continuation,2.9775238772817625,0.02,50.0,log,2.9575238772817625,0.05917414720451706,False,,,
chain6,chi,1.0381843260223078,0.1,5.0,log,0.9381843260223078,0.19146618898414444,False,,,
chain6,H0,7.701991946161454,0.2,80.0,log,7.5019919461614535,0.09400992413736158,False,,,
chain6,theta0,0.13207433861119927,0.0,8.0,softzero,0.13207433861119927,0.01650929232639991,True,lower,,
chain6,theta1,0.08505279515469401,0.02,16.0,log,0.065052795154694,0.0040708883075528165,True,lower,,
