arm,closure,case,market_residual,fiscal_residual,passes_2p6e_minus5
floor,quota,rebated_tax1_baseline,7.754405129926098e-06,2.109106142972328e-05,True
floor,quota,rebated_tax2,2.3802233030924296e-05,4.656120520933338e-06,True
floor,quota,rebated_tax2_grant0p4_Hge6,-9.061590322593366e-06,-5.997460020872686e-06,True
floor,logit,rebated_tax1_baseline,2.350521949813069e-07,-9.801046167415474e-07,True
floor,logit,rebated_tax2,2.3523286323040088e-05,4.889061490655345e-06,True
floor,logit,rebated_tax2_grant0p4_Hge6,-4.027321245024766e-06,-4.808814769235281e-07,True
floor,fixed_population_decomposition,rebated_tax1_baseline,7.754405129926098e-06,2.109106142972328e-05,True
floor,fixed_population_decomposition,rebated_tax2,7.265864885220299e-06,-1.0089798899715063e-05,True
floor,fixed_population_decomposition,rebated_tax2_grant0p4_Hge6,4.661187744018951e-06,-5.464729293913617e-06,True
tilt,quota,rebated_tax1_baseline,1.7744089799821392e-05,1.4595095546576786e-05,True
tilt,quota,rebated_tax2,-2.8363140710075646e-06,-1.866717092561203e-06,True
tilt,quota,rebated_tax2_grant0p4_Hge6,2.665503503283964e-06,4.2180259504462775e-06,True
tilt,logit,rebated_tax1_baseline,-4.950964363984979e-06,-1.720898398659708e-06,True
tilt,logit,rebated_tax2,6.462057634731173e-07,1.8286578805374346e-07,True
tilt,logit,rebated_tax2_grant0p4_Hge6,-4.673040405212179e-06,3.919527816101866e-06,True
tilt,fixed_population_decomposition,rebated_tax1_baseline,1.7744089799821392e-05,1.4595095546576786e-05,True
tilt,fixed_population_decomposition,rebated_tax2,1.7482631202262312e-06,-2.3794526604503652e-05,True
tilt,fixed_population_decomposition,rebated_tax2_grant0p4_Hge6,2.2348095363427987e-05,-1.8097508440895194e-05,True
chain6,fixed_population_screened_candidate,rebated_tax1_baseline,5.430259245534271e-06,-4.937207420702139e-06,True
chain6,fixed_population_screened_candidate,rebated_tax2,5.749120485523079e-06,2.1419553769552735e-06,True
chain6,fixed_population_screened_candidate,rebated_tax2_grant0p4_Hge6,6.119261745032324e-06,4.791479499832718e-07,True
