arm,case,policy,row_order,metric,value,unit
floor,rebated_tax2,Rebated 2% tax,1,completed fertility change,0.37787828807949175,percent
floor,rebated_tax2,Rebated 2% tax,2,births per household change,0.33363042252556596,percent
floor,rebated_tax2,Rebated 2% tax,3,household population change under quota,1.6948080850098357,percent
floor,rebated_tax2,Rebated 2% tax,4,required immigration at fixed population (identical to percent of fertility gap closed),1.7416169783316726,percent reduction
floor,rebated_tax2,Rebated 2% tax,5,house price change,-17.534148718328936,percent
floor,rebated_tax2,Rebated 2% tax,6,rent change,-6.06025584654315,percent
floor,rebated_tax2,Rebated 2% tax,7,4.917 times fixed-population dlnB,1.7385399109598376,log-percent
floor,rebated_tax2,Rebated 2% tax,8,realized dln household population,1.680606448508934,log-percent
floor,rebated_tax2,Rebated 2% tax,9,housing-feedback damping,0.05793346245090358,percentage points
floor,rebated_tax2,Rebated 2% tax,10,unidentified entry-response sensitivity (lambda=2),9.980113574013117,percent
