arm,case,policy,row_order,metric,value,unit
tilt,rebated_tax2,Rebated 2% tax,1,completed fertility change,0.202250439544982,percent
tilt,rebated_tax2,Rebated 2% tax,2,births per household change,0.1781959988060633,percent
tilt,rebated_tax2,Rebated 2% tax,3,household population change under quota,0.8971300122653014,percent
tilt,rebated_tax2,Rebated 2% tax,4,required immigration at fixed population (identical to percent of fertility gap closed),0.9180936851927668,percent reduction
tilt,rebated_tax2,Rebated 2% tax,5,house price change,-17.709551040551553,percent
tilt,rebated_tax2,Rebated 2% tax,6,rent change,-6.260062785020448,percent
tilt,rebated_tax2,Rebated 2% tax,7,4.917 times fixed-population dlnB,0.9172376541411208,log-percent
tilt,rebated_tax2,Rebated 2% tax,8,realized dln household population,0.8931297084531673,log-percent
tilt,rebated_tax2,Rebated 2% tax,9,housing-feedback damping,0.02410794568795349,percentage points
tilt,rebated_tax2,Rebated 2% tax,10,unidentified entry-response sensitivity (lambda=2),8.988331987481946,percent
