moment,target,model,gap,weight,loss_contribution
tfr,1.918,1.8479620866993223,-0.07003791330067766,20.0,0.0981061859902648
childless_rate,0.188,0.03762208666480074,-0.15037791333519926,20.0,0.452270336380974
own_rate,0.57547241,0.5428991466212674,-0.032573263378732675,100.0,0.1061017487140287
own_family_gap,0.16766167,0.07046418050628867,-0.09719748949371135,45.0,0.42513083837460575
housing_increment_0to1,0.66443467,0.7149279661364278,0.050493296136427834,14.0,0.035694021366093974
prime30_55_childless_renter_mean_rooms,3.8052881,4.078270644219611,0.272982544219611,6.0,0.44711681669167125
prime30_55_childless_owner_share_rooms_ge6,0.59613112,0.6624223683950455,0.06629124839504552,25.0,0.10986324034434063
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.17922556,0.7979232222731633,0.6186976622731633,12.0,4.593441567627326
prime30_55_childless_owner_minus_renter_mean_rooms,2.41876173,2.320770877211971,-0.09799085278802888,12.0,0.11522648676150177
own_rate_2534,0.34116609,0.35185140569645396,0.010685315696453979,80.0,0.009134077722630862
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.5249808340004662,0.15728127519046625,8.0,0.1978991962043134
old_total_estate_wealth_to_annual_income_median_7684,6.50131577436537,6.385947493865673,-0.11536828049969738,18.585767349158665,0.24737359239795326
old_nonhousing_ge_1x_income_share_6575,0.608333139649131,0.6049026283163655,-0.003430511332765507,9435.18732291246,0.11103713401239669
old_age_own_rate,0.76426097,0.7357599678689745,-0.028501002131025577,160.0,0.1299691395956359
aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.606467842582185,-0.17350263935978294,6.0,0.1806189951888654
