moment,certain_coarse_effect,certain_fine_effect,certain_effect_change,lottery_coarse_effect,lottery_fine_effect,lottery_effect_change
initial_normalization,0.09607414582971563,0.09128285622839982,-0.004791289601315807,0.03953948228086679,0.040416484535124475,0.0008770022542576861
cps_childlessness,-0.032276797424618336,-0.02957466776817086,0.0027021296564474773,-0.013255390061341132,-0.013250051462723594,5.3385986175380484e-06
cps_exactly_one,-0.006446933895563223,-0.007201356623396132,-0.0007544227278329096,-0.002279497318927348,-0.0026567381458613704,-0.00037724082693402217
nchs_mean_age,-0.042754513270601535,-0.06852154091931695,-0.025767027648715413,0.015847390977217657,0.005221374665495659,-0.010626016311721997
nchs_share30,-0.0024391192516078353,-0.00381019349794523,-0.0013710742463373948,0.0010276212310428579,0.0002676302960155086,-0.0007599909350273493
wealth_earnings,-0.09050162554898833,-0.09336030633074355,-0.0028586807817552184,0.19839284592925654,0.19620064038841623,-0.0021922055408403196
bequest_wealth,0.00021248485730010046,0.00022080985305230564,8.324995752205175e-06,0.00017118857351655463,0.00017600356032755702,4.8149868110023905e-06
old_dispersion,-0.10688533247227827,-0.11153059872022109,-0.004645266247942814,-0.17694882001930168,-0.21441201944207533,-0.03746319942277365
mean_rooms,0.17136977717369017,0.17039479575110406,-0.0009749814225861186,0.15370813785711412,0.15363964210431202,-6.849575280210018e-05
ownership_30_55,-0.0196674277710982,-0.020942157455609012,-0.0012747296845108114,0.0019906613261797546,0.001052413363735294,-0.0009382479624444606
first_birth_rooms,-0.054830737658043915,-0.061456427380240264,-0.0066256897221963484,-0.03133045339722251,-0.03051256762021559,0.0008178857770069214
family_rooms,-0.015358960697490431,-0.01898990752591434,-0.003630946828423909,-0.008644651516850566,-0.009741127119389681,-0.0010964756025391154
recent_parent_ownership,-0.053622552927186984,-0.04948036204007622,0.004142190887110764,-0.016113564296928562,-0.016148819588289953,-3.525529136139127e-05
