moment,parameter,derivative_per_unit_coordinate,method,unit_denominator
tfr,beta_annual,-0.183610672135881,central,0.01
childless_rate,beta_annual,-0.053077197265399834,central,0.01
own_rate,beta_annual,-0.09501081478142659,central,0.01
own_family_gap,beta_annual,-0.17744806211907327,central,0.01
housing_increment_0to1,beta_annual,-0.4208795904016349,central,0.01
prime30_55_childless_renter_mean_rooms,beta_annual,1.0545048465591567,central,0.01
prime30_55_childless_owner_share_rooms_ge6,beta_annual,-0.013022515986305105,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,beta_annual,-0.9834725469517469,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,beta_annual,-0.8077325934211732,central,0.01
own_rate_2534,beta_annual,-0.025309717837695977,central,0.01
prime30_55_parent_3plus_minus_1to2_mean_rooms,beta_annual,0.44455435036692137,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,beta_annual,-4.2179352288376215,central,0.01
old_nonhousing_ge_1x_income_share_6575,beta_annual,-0.4959209558555555,central,0.01
old_age_own_rate,beta_annual,-0.08230522142342878,central,0.01
aggregate_mean_occupied_rooms_18_85,beta_annual,-0.18932428640443533,central,0.01
tfr,alpha_cons,-0.5556616008205673,forward_strict_side,0.005
childless_rate,alpha_cons,0.1979418925733667,forward_strict_side,0.005
own_rate,alpha_cons,-0.641942315042221,forward_strict_side,0.005
own_family_gap,alpha_cons,-1.3715557044232662,forward_strict_side,0.005
housing_increment_0to1,alpha_cons,2.4073205550055876,forward_strict_side,0.005
prime30_55_childless_renter_mean_rooms,alpha_cons,-7.948942528061309,forward_strict_side,0.005
prime30_55_childless_owner_share_rooms_ge6,alpha_cons,-2.207718897799804,forward_strict_side,0.005
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,alpha_cons,-1.1076556288214245,forward_strict_side,0.005
prime30_55_childless_owner_minus_renter_mean_rooms,alpha_cons,-8.463018311606874,forward_strict_side,0.005
own_rate_2534,alpha_cons,-0.1391832266119608,forward_strict_side,0.005
prime30_55_parent_3plus_minus_1to2_mean_rooms,alpha_cons,-6.573145670015279,forward_strict_side,0.005
old_total_estate_wealth_to_annual_income_median_7684,alpha_cons,-14.695720517914168,forward_strict_side,0.005
old_nonhousing_ge_1x_income_share_6575,alpha_cons,4.194341338926466,forward_strict_side,0.005
old_age_own_rate,alpha_cons,-0.10308466964057406,forward_strict_side,0.005
aggregate_mean_occupied_rooms_18_85,alpha_cons,-13.746986364858849,forward_strict_side,0.005
tfr,c_bar_0,-6.067479945400933,central,0.01
childless_rate,c_bar_0,1.5202168999964154,central,0.01
own_rate,c_bar_0,-0.6188087981295776,central,0.01
own_family_gap,c_bar_0,0.541736666301601,central,0.01
housing_increment_0to1,c_bar_0,1.2481565024018537,central,0.01
prime30_55_childless_renter_mean_rooms,c_bar_0,-5.0528048600012365,central,0.01
prime30_55_childless_owner_share_rooms_ge6,c_bar_0,-2.2918685508006242,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,c_bar_0,2.3945788676704383,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,c_bar_0,-0.866971626582691,central,0.01
own_rate_2534,c_bar_0,-0.8364385363363869,central,0.01
prime30_55_parent_3plus_minus_1to2_mean_rooms,c_bar_0,7.272649092182526,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,c_bar_0,-3.2338203956071787,central,0.01
old_nonhousing_ge_1x_income_share_6575,c_bar_0,2.1282889294847007,central,0.01
old_age_own_rate,c_bar_0,-0.16589538521296632,central,0.01
aggregate_mean_occupied_rooms_18_85,c_bar_0,-5.76979134125013,central,0.01
