case,age_index,age,initial_mass,firstbirth_flow,firstbirth_rate
baseline,0,18.0,0.06173345618085493,0.016360946804827324,0.2650256087541274
baseline,1,22.0,0.04537250937602757,0.013047585073446305,0.2875658686918462
baseline,2,26.0,0.03232492430258009,0.009482678432085098,0.29335500814547044
baseline,3,30.0,0.022842245870491804,0.005797356933672535,0.25379977811909066
baseline,4,34.0,0.0170448889368173,0.0031418790292677395,0.18432968621351462
baseline,5,38.0,0.013903009907546683,0.001708058500295758,0.12285530339503017
baseline,6,42.0,0.012194951407248515,0.001111329082417692,0.09113025917898557
mortgage_only,0,18.0,0.06173345618085493,0.01659144532418113,0.26875937863538163
mortgage_only,1,22.0,0.04537250937602757,0.013182495561361508,0.29053926579442046
mortgage_only,2,26.0,0.03232492430258009,0.009564917946841736,0.29589915995807264
mortgage_only,3,30.0,0.022842245870491804,0.0058428886673445035,0.25579309059502314
mortgage_only,4,34.0,0.0170448889368173,0.0031652894743218907,0.18570314456463266
mortgage_only,5,38.0,0.013903009907546683,0.0017180389060981998,0.12357316275561542
mortgage_only,6,42.0,0.012194951407248515,0.0011147133590347271,0.09140777374251417
unsecured_only,0,18.0,0.06173345618085493,0.019203220059633604,0.3110666605701723
unsecured_only,1,22.0,0.04537250937602757,0.014842798472570761,0.32713197212788303
unsecured_only,2,26.0,0.03232492430258009,0.010393024816189526,0.32151737522738705
unsecured_only,3,30.0,0.022842245870491804,0.00635055628554447,0.27801803384615
unsecured_only,4,34.0,0.0170448889368173,0.0034905084435722777,0.20478329055185043
unsecured_only,5,38.0,0.013903009907546683,0.0019729924123441153,0.14191117070794554
unsecured_only,6,42.0,0.012194951407248515,0.0013272142425532311,0.10883308987720548
both,0,18.0,0.06173345618085493,0.019439947808603406,0.3149013356979714
both,1,22.0,0.04537250937602757,0.014956351805752062,0.3296346622973912
both,2,26.0,0.03232492430258009,0.01047302364407398,0.3239922094183543
both,3,30.0,0.022842245870491804,0.006392151825317067,0.2798390255300864
both,4,34.0,0.0170448889368173,0.003508963600598238,0.20586602902520573
both,5,38.0,0.013903009907546683,0.0019787721280036807,0.14232688757055298
both,6,42.0,0.012194951407248515,0.0013280837025992833,0.10890438659803828
