arm,age_index,age_years,surviving_mass,explicit_birth_flow,exact_first_birth_flow,childless_share,mean_rooms,ownership
mortgage_only,0,18.0,1.0000000000000007,0.2687593786353817,0.2687593786353817,0.7312406213646181,4.766198155313637,0.21206278176492607
mortgage_only,1,22.0,0.9999999999999876,0.2982861253141718,0.21140977035875486,0.5198308510058699,5.401769048784466,0.3677294746415972
mortgage_only,2,26.0,0.9999999999999897,0.3148119143689275,0.15261148131387925,0.3672193696919912,5.9618619691782895,0.4999358151164173
mortgage_only,3,30.0,0.9999999999999907,0.3085182275172752,0.09271911987455378,0.2745002498174389,6.356392257270079,0.6233515887297497
mortgage_only,4,34.0,0.9999999999999898,0.2859294378430623,0.05003825398197431,0.22446199583546575,6.64200390746729,0.6990348689992828
mortgage_only,5,38.0,0.999999999999983,0.2403942396956552,0.0270590659796279,0.19740292985583835,6.840510439212936,0.756539770853311
mortgage_only,6,42.0,0.9999999999999913,0.16009373311185143,0.01752487035518896,0.17987805950064742,6.968404326487184,0.8000743537841892
mortgage_only,7,46.0,0.9999999999999892,0.0,0.0,0.1798780595006466,7.009483462126029,0.8280263068382688
mortgage_only,8,50.0,0.9999999999999841,0.0,0.0,0.17987805950064772,7.05263897194933,0.8506053408062693
mortgage_only,9,54.0,0.9999999999999838,0.0,0.0,0.17987805950064747,7.102931784236826,0.8748571495778568
mortgage_only,10,58.0,0.9999999999999862,0.0,0.0,0.179878059500645,7.158941707661169,0.9046752496004994
mortgage_only,11,62.0,0.9999999999999866,0.0,0.0,0.17987805950064414,7.2137393651530175,0.9314725518596899
mortgage_only,12,66.0,0.9999999999999913,0.0,0.0,0.17987805950064198,7.399166313827236,0.9183667325487995
mortgage_only,13,70.0,0.9391263063710032,0.0,0.0,0.17987805950064137,7.433278390156729,0.9567536347896716
mortgage_only,14,74.0,0.8625852907341145,0.0,0.0,0.17987805950064198,7.44356970479626,0.9782018983182627
mortgage_only,15,78.0,0.7633467444960297,0.0,0.0,0.17987805950064453,7.446737343635831,0.9892867457871966
mortgage_only,16,82.0,0.6336135272169229,0.0,0.0,0.1798780595006488,7.441039199122192,0.995955349197296
