label,phi,lambda,rental_cap,birth_flow,first_birth_flow,mean_rooms,ownership,cumulative_explicit_births_per_initial_household,first_births_per_initial_household,first_birth_mean_age
arm_01_phi0.8_lambda0_cap6,0.8,0.0,6.0,0.1144749497830227,0.0487249230810764,6.492546602042798,0.5407538684910874,1.854342148733761,0.7892790408231807,25.49105090800037
arm_02_phi0.8_lambda0_cap6,0.8,0.0,6.0,0.1144749497830227,0.0487249230810764,6.492546602042798,0.5407538684910874,1.854342148733761,0.7892790408231807,25.49105090800037
arm_03_phi0.8_lambda0_cap6,0.8,0.0,6.0,0.1144749497830227,0.0487249230810764,6.492546602042798,0.5407538684910874,1.854342148733761,0.7892790408231807,25.49105090800037
arm_04_phi0.8_lambda0_cap8,0.8,0.0,8.0,0.11507363816200747,0.04916912803521645,6.580030477266094,0.5066690918043386,1.8592084214285938,0.7905060848874736,25.458249384702157
arm_05_phi0.8_lambda0_cap10,0.8,0.0,10.0,0.11519773851339868,0.049257128542364303,6.645730414671374,0.47886006851217255,1.8599251040150455,0.7906537483903198,25.450290793895576
arm_06_phi0.8_lambda0.25_cap6,0.8,0.25,6.0,0.11484267546115463,0.049136002192984474,6.55706501691035,0.5413036890374407,1.814496117156238,0.7671677408348563,25.233904309488715
arm_07_phi0.8_lambda0.25_cap8,0.8,0.25,8.0,0.1154535049584146,0.04959251806530379,6.645308732442977,0.5070117352326259,1.8193538769794775,0.7683752184548686,25.198341467900644
arm_08_phi0.8_lambda0.25_cap10,0.8,0.25,10.0,0.11557982563781674,0.04968267345121824,6.711093832320399,0.4791976075794826,1.8200837197377746,0.7685291367388205,25.190034769171998
arm_09_phi0.8_lambda1_cap6,0.8,1.0,6.0,0.11462236035252979,0.04893694673992566,6.594373717522741,0.5413831727810857,1.7794101782244853,0.750118865397331,25.147934081045594
arm_10_phi0.8_lambda1_cap8,0.8,1.0,8.0,0.11523429610162739,0.04939444302831564,6.682656038358723,0.5070716631571845,1.7842919578586316,0.7513440804022217,25.111353012851996
arm_11_phi0.8_lambda1_cap10,0.8,1.0,10.0,0.11536062514151921,0.049484583050141306,6.748468775738972,0.4792567273033408,1.7850287470769814,0.7515056350933672,25.102991660410943
arm_12_phi0.8_lambda5_cap6,0.8,5.0,6.0,0.11462236035252979,0.04893694673992566,6.594373717522741,0.5413831727810857,1.7794101782244853,0.750118865397331,25.147934081045594
arm_13_phi0.8_lambda5_cap8,0.8,5.0,8.0,0.11523429610162739,0.04939444302831564,6.682656038358723,0.5070716631571845,1.7842919578586316,0.7513440804022217,25.111353012851996
arm_14_phi0.8_lambda5_cap10,0.8,5.0,10.0,0.11536062514151921,0.049484583050141306,6.748468775738972,0.4792567273033408,1.7850287470769814,0.7515056350933672,25.102991660410943
arm_15_phi0.9_lambda0_cap6,0.9,0.0,6.0,0.11459083062849959,0.048798593500748555,6.53420829647654,0.5659013398803665,1.8555229444147647,0.7895962050763725,25.488142608935167
arm_16_phi0.9_lambda0_cap8,0.9,0.0,8.0,0.1151024218547882,0.04918285196571115,6.606302100311255,0.5291710608589564,1.859518306325954,0.7905730423977925,25.45810391912707
arm_17_phi0.9_lambda0_cap10,0.9,0.0,10.0,0.11521458420869772,0.04926254294141125,6.668353673823328,0.5004520184692411,1.8601335090233015,0.7906937370428295,25.450636492531718
arm_18_phi0.9_lambda0.25_cap6,0.9,0.25,6.0,0.11496114482252272,0.04921257710190208,6.598320450712825,0.5661187048878201,1.8157190395707394,0.7675011932637457,25.230523888495423
arm_19_phi0.9_lambda0.25_cap8,0.9,0.25,8.0,0.11548500829913728,0.04960857998297746,6.67136298518779,0.5293232710254626,1.8197136838311725,0.7684649216110572,25.198219789918745
arm_20_phi0.9_lambda0.25_cap10,0.9,0.25,10.0,0.1155982452580887,0.04968929409447581,6.733496661847082,0.5005980954218247,1.8203374948884166,0.7685912304529106,25.190602381232413
arm_21_phi0.9_lambda1_cap6,0.9,1.0,6.0,0.11474395487825269,0.04901626119226887,6.635300814916318,0.5662106788333822,1.7808168499554373,0.7505197086910735,25.144063615319684
arm_22_phi0.9_lambda1_cap8,0.9,1.0,8.0,0.11526848576536441,0.049412800904304444,6.708494677914724,0.5293957275792125,1.7847542249111656,0.7514814370356873,25.11141571093665
arm_23_phi0.9_lambda1_cap10,0.9,1.0,10.0,0.11538168784138504,0.04949346441129154,6.770641063498242,0.5006694678964967,1.785380909722744,0.7516139762476165,25.103815183059858
arm_24_phi0.9_lambda5_cap6,0.9,5.0,6.0,0.11474395487825269,0.04901626119226887,6.635300814916318,0.5662106788333822,1.7808168499554373,0.7505197086910735,25.144063615319684
arm_25_phi0.9_lambda5_cap8,0.9,5.0,8.0,0.11526848576536441,0.049412800904304444,6.708494677914724,0.5293957275792125,1.7847542249111656,0.7514814370356873,25.11141571093665
arm_26_phi0.9_lambda5_cap10,0.9,5.0,10.0,0.11538168784138504,0.04949346441129154,6.770641063498242,0.5006694678964967,1.785380909722744,0.7516139762476165,25.103815183059858
arm_27_phi0.95_lambda0_cap6,0.95,0.0,6.0,0.11464907944998226,0.04884381558411238,6.546585172137225,0.5747675863850218,1.8558270683086264,0.7896733333121583,25.484022844326105
arm_28_phi0.95_lambda0_cap8,0.95,0.0,8.0,0.11511780157686938,0.04919323828624722,6.610996823177634,0.5358293387529589,1.859647693549999,0.7906075791262289,25.45750382785018
arm_29_phi0.95_lambda0_cap10,0.95,0.0,10.0,0.11522194448989001,0.04926626588267269,6.671365100816778,0.5066078948252706,1.860229517208421,0.7907228695510607,25.450767849590203
arm_30_phi0.95_lambda0.25_cap6,0.95,0.25,6.0,0.11500357017110728,0.049242060024436374,6.610933865479377,0.5750830222315854,1.81590837282203,0.7675430713147318,25.228260038802127
arm_31_phi0.95_lambda0.25_cap8,0.95,0.25,8.0,0.1154953484020983,0.04961419350105739,6.6761822397306325,0.53603891541513,1.8197820052438216,0.7684742505732092,25.19784855777461
arm_32_phi0.95_lambda0.25_cap10,0.95,0.25,10.0,0.11560357759785296,0.04969125671865188,6.736635312912853,0.5068090021622705,1.820383247407496,0.7685958658692222,25.190585423115394
arm_33_phi0.95_lambda1_cap6,0.95,1.0,6.0,0.11478579653665749,0.04904517203246367,6.648014467314514,0.5751931680093899,1.7809139044476823,0.7505433268655615,25.14247752943867
arm_34_phi0.95_lambda1_cap8,0.95,1.0,8.0,0.11527871624939683,0.04941832945367858,6.713290478547249,0.5361171795930693,1.7848291209707356,0.7514966403659156,25.11119739131981
arm_35_phi0.95_lambda1_cap10,0.95,1.0,10.0,0.11538693664953545,0.04949536792825854,6.773772956849605,0.5068857589399132,1.7854357590550352,0.7516254421348096,25.103896462953113
arm_36_phi0.95_lambda5_cap6,0.95,5.0,6.0,0.11478579653665749,0.04904517203246367,6.648014467314514,0.5751931680093899,1.7809139044476823,0.7505433268655615,25.14247752943867
arm_37_phi0.95_lambda5_cap8,0.95,5.0,8.0,0.11527871624939683,0.04941832945367858,6.713290478547249,0.5361171795930693,1.7848291209707356,0.7514966403659156,25.11119739131981
arm_38_phi0.95_lambda5_cap10,0.95,5.0,10.0,0.11538693664953545,0.04949536792825854,6.773772956849605,0.5068857589399132,1.7854357590550352,0.7516254421348096,25.103896462953113
arm_39_phi1_lambda0_cap6,1.0,0.0,6.0,0.11467402282837033,0.04886384071826955,6.551764642736563,0.5904955726456431,1.8559189651891157,0.7896937331231215,25.48247479981412
arm_40_phi1_lambda0_cap8,1.0,0.0,8.0,0.1151256394405992,0.04919848209668315,6.61225647410691,0.5502161019729958,1.8596824904720988,0.7906126707335206,25.457047074547873
arm_41_phi1_lambda0_cap10,1.0,0.0,10.0,0.11522579199462525,0.04926783243986971,6.6712985934252265,0.5205806643801646,1.8602563697108387,0.7907280311402684,25.450723966994534
arm_42_phi1_lambda0.25_cap6,1.0,0.25,6.0,0.11504255908868033,0.04927563778859284,6.615890989874725,0.5909382048500302,1.8161216192177225,0.7676113843089677,25.225699145367813
arm_43_phi1_lambda0.25_cap8,1.0,0.25,8.0,0.11550685179699806,0.04962250983272204,6.677162221593047,0.5505494464370508,1.819898178747006,0.768517474582663,25.197651831689598
arm_44_phi1_lambda0.25_cap10,1.0,0.25,10.0,0.11561047998187785,0.0496952857056307,6.736272658746373,0.5209043573286588,1.820489921956741,0.7686379286303778,25.19083359215992
arm_45_phi1_lambda1_cap6,1.0,1.0,6.0,0.11482838288674728,0.04908218340835735,6.652932934854511,0.5910121233933313,1.781177583919772,0.750627560292724,25.13937290591509
arm_46_phi1_lambda1_cap8,1.0,1.0,8.0,0.11529403600973351,0.04943028747100853,6.714223851895595,0.5505875560148188,1.7849792045405326,0.7515487922334009,25.11047335338374
arm_47_phi1_lambda1_cap10,1.0,1.0,10.0,0.11539771516179113,0.049503097078605895,6.773353365585674,0.5209405536189518,1.785582235936985,0.7516769951075262,25.103591838719616
arm_48_phi1_lambda5_cap6,1.0,5.0,6.0,0.11482838288674728,0.04908218340835735,6.652932934854511,0.5910121233933313,1.781177583919772,0.750627560292724,25.13937290591509
arm_49_phi1_lambda5_cap8,1.0,5.0,8.0,0.11529403600973351,0.04943028747100853,6.714223851895595,0.5505875560148188,1.7849792045405326,0.7515487922334009,25.11047335338374
arm_50_phi1_lambda5_cap10,1.0,5.0,10.0,0.11539771516179113,0.049503097078605895,6.773353365585674,0.5209405536189518,1.785582235936985,0.7516769951075262,25.103591838719616
