parameter,estimate,lower_bound,upper_bound,raw_width,distance_to_nearest_bound,near_bound_within_1pct_raw_width,status
beta_annual,0.99,0.94,0.99,0.050000000000000044,0.0,True,diagnostic candidate; not a certified estimate
kappa_fert,0.35050196169573417,0.02,50.0,49.98,0.33050196169573415,True,diagnostic candidate; not a certified estimate
kappa_fert_continuation,0.6768030757383553,0.02,50.0,49.98,0.6568030757383553,False,diagnostic candidate; not a certified estimate
chi,0.9233887004457901,0.1,5.0,4.9,0.8233887004457902,False,diagnostic candidate; not a certified estimate
H0,10.516133689627335,0.2,80.0,79.8,10.316133689627335,False,diagnostic candidate; not a certified estimate
theta0,0.0,0.0,8.0,8.0,0.0,True,diagnostic candidate; not a certified estimate
theta1,0.11962943040632229,0.02,16.0,15.98,0.09962943040632229,True,diagnostic candidate; not a certified estimate
first_birth_fixed_cost,0.1235503346789937,0.0,8.0,8.0,0.1235503346789937,False,diagnostic candidate; not a certified estimate
h_P,1.9146031192781623,0.1,2.3,2.1999999999999997,0.38539688072183753,False,diagnostic candidate; not a certified estimate
hbar_child_rooms,0.0,,,,,,zero restriction
psi_child,0.07848538019553308,,,,,,normalized to 2.1
payroll_tax,0.179,,,,,,externally fixed
pension_period,2.046361389612121,,,,,,budget derived
housing_supply_elasticity,0.63,,,,,,externally fixed
tenure_choice_kappa,0.005,,,,,,externally fixed
alpha_cons,0.733,,,,,,externally fixed
sigma,2.0,,,,,,externally fixed
