geography_scope,sample,age_lower,age_upper,hhwt,rooms_capped9_sum,owner_hhwt,mean_rooms_capped9,ownership_rate
active42,DUE,18,21,1476075.0,5974104.0,139593.0,4.047290279965449,0.09457039784563792
active42,DUE,22,25,4540232.0,19096911.0,892613.0,4.206153121690698,0.19660074639357636
active42,DUE,26,29,6579886.0,30911116.0,2403139.0,4.697819384712744,0.3652250206158587
active42,DUE,30,33,7712699.0,39384691.0,3764166.0,5.106473233300042,0.48804782865246005
active42,DUE,34,37,9027487.0,50044094.0,5220013.0,5.543524349578127,0.5782354491344047
active42,DUE,38,41,9291517.0,53857868.0,5941327.0,5.796455842463615,0.6394356271424785
active42,DUE,42,45,9894649.0,58736953.0,6698380.0,5.9362341200784385,0.6769699460789362
active42,DUE,46,49,9611219.0,57522696.0,6789615.0,5.984953209369176,0.7064260006977263
active42,DUE,50,53,8867654.0,53048314.0,6472756.0,5.982226415239025,0.7299287951469464
active42,DUE,54,57,7836947.0,46833321.0,5871948.0,5.975965002698117,0.7492647328098557
active42,DUE,58,61,6657104.0,39639057.0,5112414.0,5.954399540701182,0.7679636670840654
active42,DUE,62,65,5277948.0,30842476.0,4074774.0,5.843649084833727,0.7720375418628603
active42,DUE,66,69,4085752.0,23488116.0,3170994.0,5.7487865146979065,0.7761102484928111
active42,DUE,70,73,3582976.0,20092451.0,2755172.0,5.607754838435982,0.7689618908973993
active42,DUE,74,77,3299177.0,18125424.0,2528404.0,5.493922878342084,0.7663741593736862
active42,DUE,78,81,2896757.0,15413490.0,2159857.0,5.320946838136578,0.745612075848958
active42,DUE,82,85,2175322.0,11198820.0,1531534.0,5.148120600076679,0.7040493315472376
active42,all_structures,18,21,1517990.0,6159954.0,155107.0,4.057967443790802,0.10217919749141957
active42,all_structures,22,25,4654075.0,19602530.0,948943.0,4.211906769873713,0.20389508119228847
active42,all_structures,26,29,6747942.0,31709375.0,2491656.0,4.69911789401865,0.36924680146924793
active42,all_structures,30,33,7906070.0,40322535.0,3880388.0,5.100199593476911,0.4908112374416113
active42,all_structures,34,37,9228936.0,51046158.0,5356700.0,5.531098926246752,0.5804244389602442
active42,all_structures,38,41,9513731.0,54940577.0,6099817.0,5.774871814223043,0.6411592886113765
active42,all_structures,42,45,10157322.0,60026687.0,6894022.0,5.909696177791744,0.6787243724280868
active42,all_structures,46,49,9867356.0,58770985.0,6986727.0,5.956102627694795,0.7080647541246105
active42,all_structures,50,53,9104606.0,54175561.0,6660171.0,5.950346560850629,0.7315166631043671
active42,all_structures,54,57,8057482.0,47892878.0,6054499.0,5.94390133294744,0.7514132827104051
active42,all_structures,58,61,6871796.0,40661653.0,5294021.0,5.917179875537633,0.770398451874881
active42,all_structures,62,65,5483255.0,31805604.0,4252290.0,5.800496967585859,0.775504695659786
active42,all_structures,66,69,4264799.0,24325323.0,3331850.0,5.703744303072665,0.7812443212446823
active42,all_structures,70,73,3751033.0,20868132.0,2907326.0,5.563302695550799,0.77507342644013
active42,all_structures,74,77,3455838.0,18845409.0,2670400.0,5.45320961225613,0.7727214065011149
active42,all_structures,78,81,3026008.0,16004087.0,2277881.0,5.288844907217694,0.7527676727887038
active42,all_structures,82,85,2260039.0,11586355.0,1608360.0,5.126617284038018,0.7116514361035363
national,DUE,18,21,3657006.0,15242810.0,368971.0,4.168111837935185,0.10089428346576407
national,DUE,22,25,9836359.0,43150101.0,2164411.0,4.386796069561918,0.22004188745042755
national,DUE,26,29,12949541.0,63306443.0,5152222.0,4.888701692206697,0.3978690827728952
national,DUE,30,33,14029456.0,74295319.0,7273970.0,5.295666417856829,0.5184784071456513
national,DUE,34,37,16373949.0,92829353.0,9860314.0,5.669331998041523,0.6021952309732979
national,DUE,38,41,17036973.0,100265344.0,11271762.0,5.885161877054099,0.6616059085143822
national,DUE,42,45,18690078.0,111933703.0,13102030.0,5.988937178325313,0.7010152659609018
national,DUE,46,49,18544821.0,111709753.0,13569545.0,6.0237708953890685,0.7317161486756869
national,DUE,50,53,17430583.0,104939892.0,13186893.0,6.020446476173516,0.7565376901048003
national,DUE,54,57,15628193.0,94103925.0,12170503.0,6.02142071063494,0.7787530522562653
national,DUE,58,61,13405434.0,80268642.0,10684473.0,5.9877689897992115,0.79702551965121
national,DUE,62,65,10999778.0,64894435.0,8858824.0,5.899613155829145,0.805363890071236
national,DUE,66,69,8815418.0,51259889.0,7155950.0,5.814799593167335,0.811753906621331
national,DUE,70,73,7857977.0,44777536.0,6358084.0,5.69835416927283,0.8091247912789767
national,DUE,74,77,7338968.0,41017258.0,5892540.0,5.588968094696693,0.8029112540073754
national,DUE,78,81,6423338.0,34898263.0,5005889.0,5.43304166774347,0.7793282869436421
national,DUE,82,85,4813210.0,25353298.0,3558187.0,5.267440647717428,0.7392544684316703
national,all_structures,18,21,3932614.0,16442587.0,469921.0,4.1810833710097155,0.11949329377355622
national,all_structures,22,25,10529654.0,46296490.0,2479183.0,4.396772201631697,0.23544771746536022
national,all_structures,26,29,13905250.0,67852254.0,5674858.0,4.879614102587152,0.40810902357023426
national,all_structures,30,33,14992802.0,79005689.0,7875307.0,5.269574626544125,0.5252725274435025
national,all_structures,34,37,17451420.0,98207667.0,10596359.0,5.627488594051372,0.6071917929887654
national,all_structures,38,41,18202133.0,106070978.0,12105339.0,5.82739275666209,0.6650505740178912
national,all_structures,42,45,19972903.0,118308883.0,14055168.0,5.923469562737075,0.7037118239646986
national,all_structures,46,49,19769365.0,117769446.0,14525070.0,5.957168882257978,0.7347261786101881
