case,seed_label,direction,scale,objective,recomputed_loss,fertility_loss,housing_loss,ownership_loss,wealth_loss,rooms_ownership_joint_loss,fertility_wealth_joint_loss,rooms_abs_gap,ownership_abs_gap,first_birth_rooms_abs_gap,all_four_block_loss,total_loss_rank
60,prior_case_3,6,wide,353.6588729140903,353.6588729140903,107.14066091016599,171.2768268265896,62.978129570107214,12.263255607227489,234.2549563966968,119.40391651739348,1.1158839118677353,0.16406314582849402,0.29366804956736803,353.6588729140903,1
59,prior_case_3,6,near,398.5242258279537,398.5242258279537,166.1226296736057,130.51372841596046,78.88780419426742,23.000063544120145,209.4015326102279,189.12269321772584,0.845591173694598,0.17049501145084223,0.5319299575375698,398.5242258279537,2
62,prior_case_10,6,wide,410.7804094671549,410.7804094671549,166.1471109492005,168.54244041964154,63.89741593243523,12.19344216587764,232.43985635207676,178.34055311507814,1.1103408841986058,0.16289052352966332,0.27903461564762,410.7804094671549,3
51,prior_case_10,5,near,411.97239742973153,411.9723974297315,124.46367239942505,79.90299166486797,142.29436620023375,65.31136716520476,222.1973578651017,189.77503956462982,0.5501204081652364,0.22788168885986698,0.5443368096977792,411.9723974297315,4
49,prior_case_3,5,near,416.1097911980349,416.1097911980348,107.51541266149701,81.57776870085196,161.99233418131283,65.02427565437306,243.5701028821648,172.53968831587008,0.5560116294645443,0.22870935426571026,0.550589025236375,416.1097911980349,5
61,prior_case_10,6,near,433.48420160353055,433.48420160353055,212.62766385461197,128.19352191397905,69.77616479211919,22.88685104282034,197.96968670609823,235.51451489743232,0.8396859507462358,0.16955160401910002,0.5246427001930696,433.48420160353055,6
15,prior_case_5,1,near,464.36736572783445,464.36736572783457,177.69025603606354,84.58004401697379,143.9754883480848,58.12157732671234,228.55553236505858,235.81183336277587,0.5008949708254624,0.21153650121847672,0.6165326276443979,464.36736572783445,7
90,prior_case_10,9,near,467.18827787072837,467.18827787072837,242.91616106672683,119.80289175249024,82.60944114876855,21.859783902742716,202.4123329012588,264.77594496946955,0.8058255188727266,0.18027961240548107,0.5161827972541093,467.1882778707283,8
53,prior_case_5,5,near,471.4965209232803,471.4965209232803,206.01828497864727,109.81838802072416,95.17911851944078,60.48072940446808,204.99750654016492,266.49901438311537,0.7982291419098884,0.18702746179739838,0.45278688313640525,471.4965209232803,9
88,prior_case_3,9,near,472.0202517888553,472.02025178885526,229.87086115638994,121.93466647871522,98.39431597876127,21.82040817498888,220.32898245747649,251.6912693313788,0.8119486989162477,0.18117237892775528,0.5223465981183268,472.02025178885526,10
91,prior_case_10,9,wide,474.64593953949736,474.64593953949736,233.09049023343132,146.27073505414458,84.3703579209155,10.914356331005933,230.64109297506008,244.00484656443726,1.0213386186604936,0.18756167852330358,0.3034135872078749,474.64593953949736,11
21,prior_case_3,2,near,499.3084776889522,499.3084776889521,194.60479255793945,119.08860115074567,48.39726214645085,137.21782183381617,167.48586329719652,331.8226143917556,0.9033420236113852,0.14272224722568017,0.32466459787327273,499.3084776889521,12
58,originalseed,6,wide,501.27012511079266,501.27012511079266,252.90663280289024,169.5934709194454,66.38385161393815,12.386169774518898,235.97732253338353,265.29280257740913,1.112154593930045,0.16275964042512392,0.2855759873709285,501.2701251107927,13
89,prior_case_3,9,wide,507.7262511987146,507.7262511987146,249.71506387209058,149.32041956024582,97.76327303080629,10.927494735571853,247.0836925910521,260.6425586076624,1.0276700343969623,0.1886269078816757,0.31920195914989224,507.7262511987145,14
11,prior_case_3,1,near,509.7767393004821,509.77673930048206,132.4394351518848,70.61377092969403,226.36283172391998,80.36070149498332,296.976602653614,212.8001366468681,0.26007464910198497,0.24635940059592148,0.6693717466470355,509.7767393004822,15
63,prior_case_5,6,near,509.94696249038907,509.94696249038907,278.0623418648236,165.2722857434133,43.62458057259406,22.987754309558127,208.89686631600736,301.05009617438174,1.0861134400855583,0.1221481040516249,0.3218026970037602,509.9469624903891,16
55,prior_case_1,5,near,525.6412312604908,525.6412312604909,213.38718244511347,66.81052081456048,144.15972591368939,101.28380208712758,210.97024672824986,314.67098453224105,0.5371188791039501,0.2291084519241562,0.4646042770764891,525.6412312604909,17
47,originalseed,5,near,528.5568196125587,528.5568196125587,243.26295367801814,79.68185812323054,140.10806479542543,65.50394301588453,219.78992291865598,308.76689669390265,0.5517453863372515,0.22752307484250456,0.5432269146657045,528.5568196125586,18
65,prior_case_1,6,near,538.3185726406505,538.3185726406505,320.46366029952253,123.14276459256389,68.92298468857753,25.789163059986542,192.06574928114142,346.2528233595091,0.8372124154218579,0.1701151894212169,0.49279423944808065,538.3185726406505,19
13,prior_case_10,1,near,540.0573187784845,540.0573187784846,182.02120387596472,69.45318097704337,211.45017238842266,77.13276153705382,280.90335336546605,259.15396541301857,0.2548824788413384,0.2457952324932598,0.6651594734187449,540.0573187784846,20
23,prior_case_10,2,near,554.8761627472542,554.8761627472542,243.80345154362763,116.37963827130777,56.32082794429818,138.3722449880206,172.70046621560596,382.1756965316482,0.8972192549324642,0.14193825261297044,0.3092139998657737,554.8761627472542,21
57,originalseed,6,near,556.8404291628678,556.840429162868,338.06832388655096,127.6078582726404,67.97758528592576,23.18666171775078,195.58544355856617,361.25498560430174,0.8412879065277892,0.1691862685898089,0.5186045822435899,556.8404291628678,22
40,prior_case_3,4,near,569.116845717898,569.116845717898,286.72202281020174,70.79259819918488,186.61137752716036,24.990847181350926,257.40397572634527,311.7128699915527,0.6227385546624635,0.022061275292069027,0.3918072860373669,569.1168457178978,23
94,prior_case_1,9,near,570.1356710155874,570.1356710155874,358.515089306973,105.57850760203713,85.54397320680411,20.498100899773082,191.12248080884126,379.01319020674606,0.7932743534421851,0.1829353839760256,0.4263752108959682,570.1356710155874,24
70,prior_case_10,7,near,576.1186102460547,576.1186102460546,248.11198528576716,50.680684912608186,231.1804946242283,46.14544542345106,281.86117953683646,294.2574307092182,0.3640180458790825,0.11284795734036346,0.4948108132493949,576.1186102460547,25
82,prior_case_5,8,near,576.8348512765498,576.8348512765497,295.4997363170746,80.65736352898182,115.03979618542132,85.63795524507196,195.69715971440314,381.1376915621466,0.660356487265986,0.07166722968489725,0.42477190961899214,576.8348512765497,26
92,prior_case_5,9,near,579.5308401735676,579.5308401735676,360.12097215924985,158.0746908505272,42.38454216760005,18.9506349961906,200.45923301812724,379.07160715544046,1.0560918993950468,0.1341608090915266,0.3332115807743461,579.5308401735678,27
78,prior_case_3,8,near,584.7932729815063,584.7932729815063,170.04959109537427,58.73711707966404,259.46160736725454,96.54495743921349,318.19872444691856,266.5945485345878,0.4156219371585239,0.09381891128061715,0.5155420097265695,584.7932729815063,28
42,prior_case_10,4,near,588.092683647969,588.0926836479689,326.14117952159376,68.52665354165381,169.18062171708408,24.244228867637286,237.7072752587379,350.38540838923103,0.6158607670100888,0.015581398039595684,0.38098969713827713,588.0926836479689,29
44,prior_case_5,4,near,609.8878741604557,609.8878741604557,446.3889754985331,109.17796736240163,32.67684584535053,21.644085454170373,141.85481320775216,468.03306095270347,0.8723605489885893,0.012970184170305599,0.28940991224218027,609.8878741604557,30
95,prior_case_1,9,wide,610.7967074119113,610.7967074119114,369.73606603238164,138.1636158201604,86.78548687892052,16.111538680448753,224.94910269908092,385.8476047128304,1.0121579235875444,0.18954482663776068,0.22291498765571371,610.7967074119114,31
17,prior_case_1,1,near,611.0435215442551,611.0435215442551,243.16894103917014,57.354079953942076,199.56600941618845,110.95449113495448,256.92008937013054,354.1234321741246,0.24262305128444428,0.24761126289875285,0.6004963949284849,611.0435215442551,32
68,prior_case_3,7,near,614.2386959033572,614.2386959033572,238.03917497050287,51.64440105569519,278.35769547934865,46.19742439781049,330.00209653504385,284.23659936831336,0.3700615581187563,0.1155925090633757,0.49794039711368643,614.2386959033572,33
80,prior_case_10,8,near,624.1580593828501,624.15805938285,209.7815273792099,57.61741440068494,260.0061802053679,96.7529373975872,317.62359460605285,306.5344647767971,0.4093789852451364,0.0872365729732345,0.5118898404459624,624.15805938285,34
9,originalseed,1,near,628.6853961307185,628.6853961307183,278.9639935291967,70.22369702615315,199.23889304192028,80.25881253344829,269.46259006807344,359.222806062645,0.2555733419772075,0.24532911764179666,0.6699271807941265,628.6853961307183,35
35,prior_case_5,3,near,631.0415197767966,631.0415197767965,350.26663913530564,86.48667446472463,172.8818427202803,21.40636345648592,259.3685171850049,371.67300259179154,0.5544287089083237,0.11095707321925818,0.5851982480810312,631.0415197767965,36
86,originalseed,9,near,638.5256825019129,638.5256825019128,415.75562568341206,119.48647036874615,81.19706500519482,22.086521444559885,200.68353537394097,437.84214712797194,0.8078092855292249,0.17999631007244926,0.5110059899595221,638.5256825019129,37
72,prior_case_5,7,near,647.6768270138014,647.6768270138014,382.60764420725724,72.52242852634721,144.2101827325729,48.336571547623954,216.7326112589201,430.9442157548812,0.6173541469190029,0.08928295627311555,0.41415524282521576,647.6768270138012,38
33,prior_case_10,3,near,656.9642979393658,656.9642979393658,287.6500882141968,73.46091122503873,275.4870972919006,20.366201208229697,348.94800851693935,308.0162894224265,0.3060488363725318,0.13161213516861825,0.6677419754210223,656.9642979393658,39
84,prior_case_1,8,near,660.08881307636,660.0888130763601,309.0874249276493,50.43454978628804,192.14302405594157,108.42381430648109,242.5775738422296,417.51123923413036,0.40486037994863633,0.10277950323898333,0.46261801687154125,660.0888130763599,40
87,originalseed,9,wide,669.2046027162306,669.2046027162306,425.7293704086328,147.78133535385274,84.66656417248079,11.027332781264283,232.44789952633352,436.7567031898971,1.0240471254438086,0.18762379128379464,0.31025077508536003,669.2046027162305,41
27,prior_case_1,2,near,675.016252753429,675.016252753429,325.2325800819052,107.19184856796467,59.90056080528937,182.6912632982697,167.09240937325404,507.9238433801749,0.8829831311179577,0.14566164135406923,0.2307060317167735,675.016252753429,42
31,prior_case_3,3,near,680.3309905247093,680.3309905247093,265.28063827467895,73.92121697858003,320.58763332664483,20.541501944805376,394.5088503052249,285.8221402194843,0.3118200903172603,0.13324973568877996,0.6679949012776489,680.3309905247093,43
19,originalseed,2,near,683.6231091967312,683.6231091967312,369.7828378945975,117.01387481458337,58.58612544287562,138.24027104467473,175.600000257459,508.0231089392722,0.8992903035706759,0.14185538797333086,0.31266759565045166,683.6231091967312,44
74,prior_case_1,7,near,686.8416113074132,686.8416113074132,373.2457254035634,40.083415417831304,207.89005355837057,65.6224169276479,247.97346897620187,438.86814233121135,0.3534553756292036,0.12818729730045797,0.4184504824597324,686.8416113074132,45
93,prior_case_5,9,wide,689.12604817732,689.1260481773201,422.19535608408825,206.78198446597747,48.826967919268554,11.321739707985675,255.60895238524603,433.5170957920739,1.2584430607601673,0.1440962881790765,0.165203512312188,689.12604817732,46
25,prior_case_5,2,near,694.16066075248,694.1606607524802,327.71020549583477,166.12726479841098,76.22107514909278,124.10211530914154,242.34833994750375,451.8123208049763,1.1308777788869406,0.09815759571202598,0.1304654921401116,694.16066075248,47
76,originalseed,8,near,700.4242716504576,700.4242716504577,340.62528658354023,57.170264840069,205.6549593764091,96.9737608504393,262.8252242164781,437.59904743397954,0.41095090345258445,0.09101941550023407,0.5083232222194762,700.4242716504577,48
46,prior_case_1,4,near,703.1071738914926,703.1071738914927,487.18021893966124,68.07636588326982,124.50235047460859,23.34823859395305,192.57871635787842,510.5284575336143,0.6173074915971872,0.02246775925428257,0.37335524351106275,703.1071738914927,49
38,originalseed,4,near,720.2238141526468,720.2238141526468,495.98206053203984,69.01156142166273,130.7860328986252,24.444159300319093,199.79759432028794,520.4262198323589,0.6182676297715792,0.01975670388413242,0.3809210139079944,720.2238141526469,50
66,originalseed,7,near,731.5923994198876,731.5923994198876,421.94881649835577,50.49930220343172,212.7234781937426,46.420802524357505,263.22278039717435,468.36961902271327,0.3657366408068592,0.11424047964837747,0.4924576229337141,731.5923994198877,51
96,originalseed,10,near,761.4532334214275,761.4532334214276,487.2301009151816,79.44580845444551,172.43009268444303,22.34723136735741,251.87590113888854,509.57733228253903,0.38010328930287063,0.24934918826917857,0.6656235949149856,761.4532334214275,52
37,prior_case_1,3,near,792.1184546344201,792.1184546344201,449.4568482795049,70.29451847849907,246.70613182653253,25.66095604988358,317.0006503050316,475.1178043293885,0.3053468352631379,0.13411534774138134,0.6512231388141616,792.1184546344201,53
29,originalseed,3,near,799.7920202121239,799.7920202121238,460.37656059768926,72.38801754168811,246.32052991488726,20.706912157859186,318.7085474565754,481.0834727555484,0.3070927387304945,0.1321738577842344,0.6620582790621687,799.7920202121238,54
5,prior_case_5,0,near,816.8374495860796,816.8374495860796,599.0209974147355,195.24073389800748,3.7191053853353484,18.8566128880014,198.95983928334283,617.8776103027369,1.2253691945898346,0.038278967075785264,0.14134788713339463,816.8374495860797,55
52,prior_case_10,5,wide,849.8711697358772,849.8711697358772,21.10102668974051,51.48461210978102,224.4163380265236,552.8691929098321,275.90095013630463,573.9702195995726,0.4111957039643963,0.2823727624442215,0.4568242545032113,849.8711697358772,56
22,prior_case_3,2,wide,857.8303464909097,857.8303464909096,230.56645109936187,199.9971445957271,172.1291229617736,255.13762783404707,372.1262675575007,485.70407893340894,1.2482142625910404,0.09628546927630965,0.023978170328231352,857.8303464909096,57
16,prior_case_5,1,wide,870.6340906451074,870.6340906451073,111.50255372357324,53.28110569996313,338.8275285739976,367.0229026475735,392.1086342739607,478.5254563711468,0.04893442231856504,0.3120363319810909,0.6194473779994369,870.6340906451076,58
50,prior_case_3,5,wide,888.6178763944969,888.6178763944968,29.298717420579628,53.769789374834424,250.91249672773742,554.6368728713453,304.6822861025718,583.9355902919249,0.4171755358504905,0.28326150702229197,0.4714235203036432,888.6178763944968,59
54,prior_case_5,5,wide,912.5973719300265,912.5973719300264,87.86069994810425,73.94728449454152,197.49268544555042,553.2967020418303,271.43996994009194,641.1574019899346,0.6412075886672666,0.25007507441168697,0.38938354874283454,912.5973719300264,60
48,originalseed,5,wide,924.8463068118735,924.8463068118735,91.90118450095284,52.2246450951857,227.04204883896344,553.6784283767715,279.26669393414915,645.5796128777243,0.4131450052204455,0.28218879306749195,0.4658434156889386,924.8463068118735,61
12,prior_case_3,1,wide,967.1470425237997,967.1470425237998,74.11868712573444,67.41710334658295,457.51273098195986,368.09852106952235,524.9298343285428,442.2172081952568,0.2724185800209318,0.3416022764527652,0.6472768602359389,967.1470425237997,62
14,prior_case_10,1,wide,1013.0953095994377,1013.0953095994377,124.10542553433879,65.67679822730982,456.32853901161104,366.98454682617796,522.0053372389209,491.08997236051675,0.27689261934461484,0.3407680927880254,0.6364310998379554,1013.0953095994377,63
28,prior_case_1,2,wide,1038.115782812274,1038.115782812274,378.62140498591884,192.73430333770438,227.15579350407427,239.6042809845764,419.89009684177864,618.2256859704953,1.2246772601715383,0.10091788716514971,0.04393004351342733,1038.115782812274,64
10,originalseed,1,wide,1053.4882218652344,1053.4882218652342,171.30098626053837,67.10681261649326,447.66308282556713,367.4173401626355,514.7698954420604,538.718326423174,0.27680913076209723,0.34011332065728933,0.6449453715234472,1053.4882218652342,65
18,prior_case_1,1,wide,1072.1365710041327,1072.1365710041327,157.1690977232066,58.083551156804695,430.32579366955525,426.55812845456614,488.4093448263599,583.7272261777728,0.288696125498042,0.3380036784219719,0.5862047819150289,1072.1365710041327,66
4,prior_case_10,0,wide,1102.393658075792,1102.3936580757916,776.56666567915,277.90502228795634,35.322205807397296,12.599764301288246,313.22722809535367,789.1664299804382,1.4657866250059985,0.07790160484590103,0.1327532688289177,1102.3936580757918,67
20,originalseed,2,wide,1109.4320955312019,1109.4320955312019,405.5201964923068,198.86711679074836,248.44796943108472,256.5968128170621,447.3150862218331,662.1170093093689,1.2452166770699487,0.09642910303766783,0.011728187981815852,1109.4320955312019,68
56,prior_case_1,5,wide,1147.067772823255,1147.067772823255,84.69279373714967,42.747922635620746,233.68740868280597,785.9396477676785,276.43533131842673,870.6324415048282,0.39909533820524246,0.28367406862026884,0.3975867247982501,1147.067772823255,69
41,prior_case_3,4,wide,1154.241701008887,1154.241701008887,444.7859177762646,54.40441656657584,640.8141943565943,14.23717230945232,695.2186109231701,459.02309008571694,0.6115294038348997,0.1792376983593017,0.20834653243117152,1154.241701008887,70
43,prior_case_10,4,wide,1155.125054305395,1155.1250543053952,500.3303959338587,51.684165765382865,588.959015640933,14.151476965220585,640.6431814063159,514.4818728990793,0.6054502802697348,0.18265132148751761,0.1791841080208758,1155.125054305395,71
2,prior_case_3,0,wide,1192.5183265060584,1192.5183265060584,806.9155455472725,279.5238494535109,93.39464216115815,12.684289344116914,372.91849161466905,819.5998348913894,1.4713092677920239,0.07553206404716017,0.1135362988515054,1192.5183265060584,72
26,prior_case_5,2,wide,1311.9767157054089,1311.9767157054089,372.6978797125524,268.84060234821277,459.4547575130133,210.98347613163037,728.2953598612261,583.6813558441827,1.445763579629089,0.052725559008643175,0.010173859546810382,1311.9767157054087,73
39,originalseed,4,wide,1321.3751999775336,1321.3751999775338,692.4281367393431,54.27690929120252,560.302758607566,14.367395339421957,614.5796678987685,706.7955320787651,0.6072883236699225,0.18104649142500984,0.21257547940604637,1321.3751999775338,74
8,prior_case_1,0,wide,1377.3144089418727,1377.3144089418724,1029.4694115576817,278.4033101687639,59.95635830322525,9.4853289122017,338.35966847198915,1038.9547404698835,1.4652422477638876,0.07069086219197007,0.13787419005845458,1377.3144089418727,75
6,prior_case_5,0,wide,1494.6186738234317,1494.6186738234314,1038.9886589917555,372.74527789854847,72.79395911497878,10.090777818148773,445.5392370135272,1049.0794368099043,1.6971127787388998,0.10630899751826339,0.16669269340504234,1494.6186738234317,76
83,prior_case_5,8,wide,1652.0848870739665,1652.0848870739665,196.89909733225105,32.132956085073964,1280.4182692663912,142.63456439025015,1312.5512253514653,339.53366172250117,0.321172907923839,0.11275268433012153,0.37053661315152797,1652.0848870739665,77
85,prior_case_1,8,wide,1813.3507674689486,1813.3507674689486,249.14964858412296,26.57324808032775,1403.0526796114934,134.5751911930045,1429.6259276918213,383.7248397771275,0.09000559282633791,0.07261933993329461,0.43059182275537355,1813.3507674689486,78
77,originalseed,8,wide,1827.50935741845,1827.5093574184498,253.3669503402756,27.180974093774125,1413.5089170218941,133.4525159625058,1440.6898911156682,386.8194663027814,0.09103625187481423,0.07496510881675478,0.43551206927319597,1827.5093574184498,79
81,prior_case_10,8,wide,1832.3563955702762,1832.3563955702762,158.5766842714724,26.746965321777218,1513.8315480680205,133.2011979090059,1540.5785133897978,291.7778821804783,0.09036591779031777,0.07671493094537629,0.43033558935452354,1832.3563955702762,80
79,prior_case_3,8,wide,1847.347142742807,1847.347142742807,110.86211857825538,27.637055444993464,1575.9260041791201,132.921964540438,1603.5630596241135,243.7840831186934,0.09581664874074569,0.07101479690092893,0.43760999168887493,1847.347142742807,81
36,prior_case_5,3,wide,1948.150745193316,1948.1507451933162,438.31863626216807,66.1835576199232,1429.3608607993212,14.287690511903666,1495.5444184192445,452.60632677407176,0.07981069373756,0.015060696809109153,0.6884809009922568,1948.1507451933162,82
71,prior_case_10,7,wide,1973.6617011808241,1973.6617011808241,264.98046535517096,23.39806322822722,1523.5842312091659,161.69894138825998,1546.9822944373932,426.67940674343095,0.00779014498318098,0.004327618733433125,0.4122315707788775,1973.6617011808241,83
75,prior_case_1,7,wide,2047.0408082191946,2047.0408082191943,430.407654560978,19.006712613082943,1371.6324308147487,225.99401023038456,1390.6391434278316,656.4016647913626,0.0038937823652283043,0.01667393494051228,0.3714291558240157,2047.0408082191943,84
69,prior_case_3,7,wide,2108.5981825652057,2108.598182565205,291.17019500551777,24.274391403880728,1632.159062058522,160.99453409728474,1656.433453462403,452.16472910280254,0.013403714355878726,0.0010417644051526898,0.41984970710911074,2108.598182565205,85
73,prior_case_5,7,wide,2129.3145430688032,2129.3145430688037,458.25712507359685,27.59456982425736,1470.7076294526412,172.7552187183079,1498.3021992768986,631.0123437919048,0.243438173291187,0.03663996465281083,0.3801680146825841,2129.3145430688032,86
67,originalseed,7,wide,2156.6357277781776,2156.6357277781776,471.47559529059936,24.55135739792444,1498.9148719022744,161.6939031873792,1523.4662293001988,633.1694984779785,0.009117188632109752,0.0028333704439363894,0.4218908076225787,2156.635727778177,87
32,prior_case_3,3,wide,2240.7603967482605,2240.760396748261,327.3289124325272,76.45538124482825,1820.780247377131,16.195855693774597,1897.2356286219592,343.5247681263018,0.13783724001345998,0.062361603686718836,0.7325921924737215,2240.7603967482614,88
