estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper
0.99,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995
0.19777115505824105,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
0.34649369327384283,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
0.9530594713531557,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
10.15538448099704,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
0.17078349399905368,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
0.07348722988916863,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
0.1673816654593897,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
0.0,,,False,hbar_child_rooms,zero restriction,False,,
0.19227029432243803,,,False,psi_child,normalized to 2.1,False,,
0.179,,,False,payroll_tax,externally fixed,False,,
2.046361389612121,,,False,pension_period,budget derived,False,,
0.63,,,False,housing_supply_elasticity,externally fixed,False,,
0.005,,,False,tenure_choice_kappa,externally fixed,False,,
0.733,,,False,alpha_cons,externally fixed,False,,
2.0,,,False,sigma,externally fixed,False,,
