metric,value
July family-years,1835
July persons,1346
July IW mass,40916.8850389123
finite gross-earnings rows,1835
zero gross-earnings rows,67
positive gross earnings <=1000 rows,26
waves represented,14
minimum Ebar_wave,73353.9189333504
maximum Ebar_wave,84210.079569796
mean omega (weighted),0.185775923243504
variance omega (weighted),1.58331811294979
3x5 node approximation MSE,1.25163501043339
3x5 node approximation RMSE,1.11876494869718
3x5 node approximation MAE,0.302315557520546
variance share removed by nodes,0.209486078510435
raw weighted Spearman omega/gross earnings,0.282504564043582
node-imputed weighted Spearman omega/gross earnings,0.284757843728323
weighted mean absolute omega scale,0.388915883341629
weighted 3x5 candidate-node mean omega,0.185775923243504
