earnings_tercile,wealth_quintile,family_years,persons,weighted_mass,probability,conditional_mean_omega,mean_nw2,mean_gross_earnings,min_gross_earnings,max_gross_earnings,conditional_prob_within_tercile
1,1,123,114,2764.8310033679,0.0675718838503597,-0.542520444470538,-42155.8759319877,8587.32532569611,0,16337.6045246653,0.202162798883856
1,2,94,90,2083.05300956965,0.0509093741517382,-0.0421778682515868,-3315.52344487954,8296.81260920794,0,16241.8842400138,0.152311597390607
1,3,205,172,3359.45100045204,0.082104270578202,0.0043972624579175,341.886174664428,5559.83373465409,0,16094.9994072416,0.245641059485104
1,4,116,112,2763.03300023079,0.0675279410346883,0.0693675081831898,5400.61069045742,8932.4347130719,0,16337.6045246653,0.202031329963637
1,5,123,111,2705.89200371504,0.0661314271881086,1.1936636312174,92214.6676173546,8900.85739736506,0,16337.6045246653,0.197853214276796
2,1,109,106,2715.39199763536,0.066363605026458,-0.540205382307409,-41988.1798106365,23640.8502535484,16422.4576863326,34335.9987354488,0.199731610918359
2,2,147,141,2705.48500138521,0.0661214801374121,-0.0407975294397582,-3152.41286203692,24074.1977282104,16381.4043831131,34222.5273920681,0.199002898333904
2,3,120,112,2735.1910123229,0.0668474887499797,0.0334374319561536,2618.29573980957,25182.1738316245,16422.4576863326,34335.9987354488,0.201187934388997
2,4,116,108,2709.83699166775,0.0662278418577238,0.116773772171812,9049.84335523763,24515.4589715833,16422.4576863326,34014.098747304,0.199323010505771
2,5,116,114,2729.29900676012,0.0667034893825504,0.860890193938767,67002.9963116379,24734.3016314402,16359.3879973649,34335.9987354488,0.20075454585297
3,1,129,125,2736.19400835037,0.0668720017603547,-0.361293807607908,-27966.0424830224,51833.4591844426,34505.4215948826,145996.857261607,0.200521039694057
3,2,131,125,2711.08499664068,0.0662583428348081,0.0324400021873245,2538.11070661788,55797.0731244879,34350.3778841738,1735935.24448569,0.198680934380489
3,3,107,98,2732.78700441122,0.0667887353060312,0.118011421249659,9203.64407375146,51785.9734807636,34350.3778841738,101604.801952135,0.200271358578596
3,4,105,102,2748.6169987917,0.0671756170142898,0.313756035364729,24541.6448549083,57663.1684285867,34371.9240242503,158044.280730458,0.201431454288855
3,5,94,92,2716.73800361156,0.0663965011272956,1.5784729200581,123398.721465438,67675.7023527252,34928.6399064059,266847.540569534,0.199095213058002
