metric,value
July family-years,1835
July persons,1346
July IW mass,40916.8850389123
finite gross-earnings rows,1835
zero gross-earnings rows,67
positive gross earnings <=1000 rows,26
waves represented,14
minimum Ebar_wave,73353.9189333504
maximum Ebar_wave,84210.079569796
mean omega (weighted),0.185775923243504
variance omega (weighted),1.58331811294979
3x5 node approximation MSE,1.25274231072056
3x5 node approximation RMSE,1.11925971549081
3x5 node approximation MAE,0.302542904483566
variance share left within 3x5 cells (MSE/variance),0.791213275762162
variance share explained by node means (1-MSE/variance),0.208786724237838
raw weighted Spearman omega/gross earnings,0.282504564043582
node-imputed weighted Spearman omega/gross earnings,0.283598469458786
weighted mean absolute omega scale,0.388915883341629
pooled ratio of weighted sums NETWORTH2R/EARNINDRRC,0.486502230049851
cash-only direct July R*omega + 4*(1-tau)*earn/Ebar_wave <= 0 (descriptive; withdrawn as feasibility),0.0697282796003369
"candidate product mass on (tercile,omega-quintile,z) combinations absent in rank-coupled microdata",0.00277433655019374
weighted 3x5 candidate-node mean omega,0.185775923243504
