item,value
July sample family-years,1835
July sample persons,1346
unique waves,14
age min,18
age max,24
total IW weight,40916.8850389123
gross labor missing,0
gross labor zero,67
gross labor positive <=1000,26
gross labor >1000,1742
family income missing/<=1000 (should be zero),0
gross-denominator excluded IW weight,1892.67800158262
gross-denominator excluded IW weight share,0.046256649297293
gross-denominator eligible IW weight share,0.953743350702707
nonhousing net worth negative,541
nonhousing net worth zero,191
