record_type,year_start,year_end,exact_age,model_cell_start_after_boundary_collapse,first_birth_count,share_of_all_nchs_first_births_ages12_49
nchs_exact_age,2003,2006,12,18,498,7.532593213194017e-05
nchs_exact_age,2003,2006,13,18,3182,0.00048129942980689486
nchs_exact_age,2003,2006,14,18,22324,0.003376658853239824
nchs_exact_age,2003,2006,15,18,70272,0.01062912430276245
nchs_exact_age,2003,2006,16,18,154705,0.023400197450746597
nchs_exact_age,2003,2006,17,18,260160,0.039350992978806336
nchs_exact_age,2003,2006,18,18,378962,0.05732061424213718
nchs_exact_age,2003,2006,19,18,478125,0.07231970140679497
nchs_exact_age,2003,2006,20,18,470224,0.07112462070443662
nchs_exact_age,2003,2006,21,18,420606,0.06361955624555589
nchs_exact_age,2003,2006,22,22,388255,0.05872624453792456
nchs_exact_age,2003,2006,23,22,358014,0.05415208487205709
nchs_exact_age,2003,2006,24,22,342805,0.05185161880419629
nchs_exact_age,2003,2006,25,22,336041,0.05082851718785002
nchs_exact_age,2003,2006,26,26,331539,0.05014755866082593
nchs_exact_age,2003,2006,27,26,325990,0.04930823416805458
nchs_exact_age,2003,2006,28,26,318036,0.04810513685042917
nchs_exact_age,2003,2006,29,26,303487,0.04590450033117696
nchs_exact_age,2003,2006,30,30,278067,0.04205955014082773
nchs_exact_age,2003,2006,31,30,250942,0.037956706949906285
nchs_exact_age,2003,2006,32,30,222367,0.0336345412658296
nchs_exact_age,2003,2006,33,30,191111,0.02890685585475345
nchs_exact_age,2003,2006,34,34,164807,0.02492819457202543
nchs_exact_age,2003,2006,35,34,138546,0.020956037335646154
nchs_exact_age,2003,2006,36,34,109780,0.016604981585229703
nchs_exact_age,2003,2006,37,34,83074,0.012565515031985539
nchs_exact_age,2003,2006,38,38,63752,0.009642929368022992
nchs_exact_age,2003,2006,39,38,49272,0.007452729574307142
nchs_exact_age,2003,2006,40,38,36285,0.00548835632009528
nchs_exact_age,2003,2006,41,38,24627,0.0037250034751270897
nchs_exact_age,2003,2006,42,42,15373,0.0023252721981211174
nchs_exact_age,2003,2006,43,42,9000,0.0013613120264808465
nchs_exact_age,2003,2006,44,42,5112,0.0007732252310411208
nchs_exact_age,2003,2006,45,42,2783,0.000420947929966244
nchs_exact_age,2003,2006,46,42,1506,0.00022779287909779498
nchs_exact_age,2003,2006,47,42,843,0.00012750955981370596
nchs_exact_age,2003,2006,48,42,491,7.426713388912174e-05
nchs_exact_age,2003,2006,49,42,306,4.628460890034878e-05
nchs_collapsed_42plus,2003,2006,42+,42,35414,0.0053566115673103
