rep,exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p90,exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p90,no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p90,no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p90
1,3.38001609315094,7.8767824351199,26.6236513929539,4.37735849056604,292438.765773133,1280109.31432768,3.38001609315094,7.8767824351199,26.6236513929539,4.37735849056604,292438.765773133,1280109.31432768
2,3.78422797927461,6.76924735740983,25.616375248541,5.23333333333333,248297.065279075,1299421.30829383,3.78422797927461,6.76924735740983,25.616375248541,5.23333333333333,248297.065279075,1299421.30829383
3,3.70357718923878,7.39299098025137,27.380512754707,5.36694957563655,276299.456529993,1482885.25097225,3.70357718923878,7.39299098025137,27.380512754707,5.36694957563655,276299.456529993,1482885.25097225
4,3.91169060283688,7.40202718569262,28.9544401842169,4.4436170212766,259332.49040259,1152374.268523,3.91169060283688,7.40202718569262,28.9544401842169,4.4436170212766,259332.49040259,1152374.268523
5,3.67881112120883,6.96322110718304,25.616375248541,5.91801711397226,216307.132891755,1280109.31432768,3.67881112120883,6.96322110718304,25.616375248541,5.91801711397226,216307.132891755,1280109.31432768
6,3.65064372982825,6.96322110718304,25.4202394743455,4.64130434782609,263754.224334545,1224163.62816142,3.65064372982825,6.96322110718304,25.4202394743455,4.64130434782609,263754.224334545,1224163.62816142
7,3.63994994840041,7.54958131274561,27.4800981097731,4.69158878504673,295197.622054012,1384945.85300106,3.63994994840041,7.54958131274561,27.4800981097731,4.69158878504673,295197.622054012,1384945.85300106
8,3.62554765929555,6.68645912244913,24.2420762203708,5.85093167701863,222087.930610728,1299421.30829383,3.62554765929555,6.68645912244913,24.2420762203708,5.85093167701863,222087.930610728,1299421.30829383
9,3.53887937884847,6.98624313902793,24.7234717803275,5.74415852264484,255153.543106245,1465642.39921676,3.53887937884847,6.98624313902793,24.7234717803275,5.74415852264484,255153.543106245,1465642.39921676
10,3.61294018841268,7.36897097780377,26.6236513929539,4.98867547113484,276511.901489858,1379428.14043931,3.61294018841268,7.36897097780377,26.6236513929539,4.98867547113484,276511.901489858,1379428.14043931
11,3.25505025488697,7.80947680797887,25.4202394743455,5.67116171119252,259332.49040259,1470716.49003937,3.25505025488697,7.80947680797887,25.4202394743455,5.67116171119252,259332.49040259,1470716.49003937
12,3.41645756701817,7.28579300191372,24.8916026331161,4.47614180390215,250853.202492095,1122854.5063176,3.41645756701817,7.28579300191372,24.8916026331161,4.47614180390215,250853.202492095,1122854.5063176
13,3.76239489579986,7.59232188924848,28.565313123378,5.88856304985337,235192.497944902,1384945.85300106,3.76239489579986,7.59232188924848,28.565313123378,5.88856304985337,235192.497944902,1384945.85300106
14,3.4418432949206,6.71160438983788,23.1002905673232,5.48235294117647,234502.783874682,1285627.02688943,3.4418432949206,6.71160438983788,23.1002905673232,5.48235294117647,234502.783874682,1285627.02688943
15,3.71819917948197,6.84413703889377,25.447864722277,4.49722109577146,215017.03070751,966979.126447954,3.71819917948197,6.84413703889377,25.447864722277,4.49722109577146,215017.03070751,966979.126447954
16,3.40078147956876,7.53249669302166,25.616375248541,5.31439473684211,262091.346683468,1392856.87338648,3.40078147956876,7.53249669302166,25.616375248541,5.31439473684211,262091.346683468,1392856.87338648
17,3.65212660012707,7.40691570087657,27.0509938560702,5.35755725230187,292438.765773133,1566757.43042206,3.65212660012707,7.40691570087657,27.0509938560702,5.35755725230187,292438.765773133,1566757.43042206
18,4.17125471403486,7.8767824351199,32.8560658639209,4.63181192660551,300715.334615769,1392856.87338648,4.17125471403486,7.8767824351199,32.8560658639209,4.63181192660551,300715.334615769,1392856.87338648
19,3.5702073395362,6.92494004663026,24.7234717803275,4.0121412803532,249952.379047602,1002844.25809938,3.5702073395362,6.92494004663026,24.7234717803275,4.0121412803532,249952.379047602,1002844.25809938
20,3.59725890153942,7.50908240923532,27.0121135390148,5.01701563201356,255153.543106245,1280109.31432768,3.59725890153942,7.50908240923532,27.0121135390148,5.01701563201356,255153.543106245,1280109.31432768
21,3.91920410009044,6.98624313902793,27.380512754707,5.93922651933702,249676.493419515,1482885.25097225,3.91920410009044,6.98624313902793,27.380512754707,5.93922651933702,249676.493419515,1482885.25097225
22,3.62650880931825,7.54958131274561,27.3786231373364,4.84941443270263,252435.349700393,1224163.62816142,3.62650880931825,7.54958131274561,27.3786231373364,4.84941443270263,252435.349700393,1224163.62816142
23,3.87203727636569,6.98624313902793,27.0509938560702,5.54651775740364,220708.502470289,1224163.62816142,3.87203727636569,6.98624313902793,27.0509938560702,5.54651775740364,220708.502470289,1224163.62816142
24,3.28224130562608,7.53249669302166,24.7234717803275,4.88082901554404,266229.631104786,1299421.30829383,3.28224130562608,7.53249669302166,24.7234717803275,4.88082901554404,266229.631104786,1299421.30829383
25,3.37720230115152,7.40691570087657,25.0146527494357,5.10968292632835,249676.493419515,1275767.71553123,3.37720230115152,7.40691570087657,25.0146527494357,5.10968292632835,249676.493419515,1275767.71553123
