variant,moment,estimate
exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p90_p50,3.51593508651872
exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p50,7.28579300191372
exact_builder_sample__ratio_p90,exact_builder_sample__ratio_p90,25.616375248541
exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p90_p50,4.91942877481612
exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p50,259332.49040259
exact_builder_sample__wealth_p90,exact_builder_sample__wealth_p90,1275767.71553123
no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p90_p50,3.51593508651872
no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p50,7.28579300191372
no_children_history_filter__ratio_p90,no_children_history_filter__ratio_p90,25.616375248541
no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p90_p50,4.91942877481612
no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p50,259332.49040259
no_children_history_filter__wealth_p90,no_children_history_filter__wealth_p90,1275767.71553123
