matrix_index,event_coefficient,estimate,variance,standard_error
1,L0event,       .4457283455028993,    .0044894805866075999,     .067003586371235394
2,L1event,      1.0148049857307739,    .0079187472391145999,     .088987343139991501
3,L2event,      .72615956436265017,    .0064504497012389996,     .080314691689870807
4,L3event,       1.201745087898878,       .0105153522253572,      .10254439148660061
5,L4event,      .83116179271036472,    .0090842217990309004,     .095311184018618197
6,L5event,       1.294239069353718,     .012297465565249299,       .1108939383611625
7,L6event,      .96468203397867869,        .010935024192275,      .10457066602195381
8,L7event,       1.400287579473386,       .0148963523988254,      .12205061408622821
9,L8event,      .98543987397865529,       .0134887588752639,      .11614111621326829
10,L9event,      1.4343186218668551,     .017894361917818201,      .13376980944076361
11,L10event,      1.0277562162126599,     .016334412658838299,       .1278061526642528
12,L11event,      1.0519139924202969,     .015874035534636899,      .12599220426136251
13,F1event,      .48149882551735002,    .0063151495281699999,     .079467915086341601
14,F3event,      .18269229593155839,    .0090501529512050007,     .095132291842491598
15,F4event,     -.32083974945951788,    .0091525895807886004,     .095669167346583497
16,F5event,     -.12730184079717069,     .010977724071137901,       .1047746346743233
17,F6event,     -.47638353980673592,       .0128167308670226,       .1132110015282199
18,F7event,     -.29937281906982399,    .0071116180203432003,     .084330409819609001
