room_code,aligned_interview_year,rooms_source_year,event_time,reporter_role_code,first_birth_cohort_code,observations,people
0,1972,1971,-1,1,1973,1,1
0,1979,1978,999999,1,0,1,1
0,1980,1979,2,2,1978,1,1
0,1981,1980,-1,1,1982,1,1
0,1981,1980,999999,1,0,2,2
0,1981,1980,999999,2,0,1,1
0,1985,1984,999999,1,0,1,1
0,1986,1985,999999,1,0,1,1
0,1987,1986,999999,1,0,2,2
0,1988,1987,999999,1,0,1,1
0,1989,1988,999999,1,0,3,3
0,1990,1989,-8,1,1998,1,1
0,1990,1989,999999,1,0,5,5
0,1991,1990,-9,1,2000,1,1
0,1991,1990,3,1,1988,1,1
0,1991,1990,999999,1,0,4,4
0,1992,1991,999999,1,0,4,4
0,1993,1992,-1,1,1994,2,2
0,1993,1992,999999,1,0,6,6
0,1994,1993,999999,1,0,2,2
0,1995,1994,-7,1,2002,1,1
0,1995,1994,5,1,1990,1,1
0,1995,1994,999999,1,0,4,4
0,1996,1995,4,1,1992,1,1
0,1996,1995,10,1,1986,1,1
0,1996,1995,18,1,1978,1,1
0,1996,1995,999999,1,0,1,1
0,1997,1996,3,1,1994,1,1
0,1997,1996,7,1,1990,1,1
0,1997,1996,19,1,1978,1,1
0,1997,1996,999999,2,0,1,1
0,1999,1997,7,2,1992,1,1
0,1999,1997,21,1,1978,1,1
0,1999,1997,999999,1,0,2,2
0,2001,1999,999999,1,0,2,2
0,2005,2003,-2,1,2007,1,1
0,2005,2003,14,1,1991,1,1
0,2005,2003,27,1,1978,1,1
0,2005,2003,999999,1,0,1,1
0,2007,2005,6,1,2001,1,1
0,2007,2005,8,1,1999,1,1
0,2007,2005,999999,1,0,1,1
0,2009,2007,-3,1,2012,1,1
0,2009,2007,15,1,1994,1,1
0,2009,2007,21,1,1988,1,1
0,2009,2007,31,1,1978,1,1
0,2009,2007,999999,1,0,3,3
0,2011,2009,-1,1,2012,1,1
0,2011,2009,5,1,2006,1,1
0,2011,2009,999999,1,0,1,1
0,2013,2011,999999,1,0,5,5
0,2015,2013,-1,1,2016,1,1
0,2015,2013,33,2,1982,1,1
0,2015,2013,999999,1,0,3,3
0,2017,2015,2,1,2015,1,1
0,2017,2015,26,1,1991,1,1
0,2017,2015,999999,1,0,3,3
0,2019,2017,3,1,2016,1,1
0,2019,2017,4,1,2015,1,1
0,2019,2017,7,1,2012,1,1
0,2019,2017,31,1,1988,1,1
0,2019,2017,999999,1,0,3,3
98,1991,1990,999999,1,0,1,1
