"row_id","label","target","weight","status","source_path","sample","definition","model_observation","weight_status","mapping_warning"
"initial_normalization","Initial model completed fertility","2.1","","author-fixed unscored normalization","/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/OVERNIGHT_PLAN.md","Author-selected stationary model normalization, using maintained top-parity representative; not empirical female period TFR","Author-selected stationary model normalization, using maintained top-parity representative; not empirical female period TFR","final.normalization.completed_fertility","separate_unscored_normalization","Separate from CPS age-window stocks and actual birth/entry accounting."
"cps_childlessness","Childless women, ages 40–44","0.19827875100684264","35532.3042455214","retained existing target unchanged","/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json","June, femaleSEX2,age40-44,FREVER0-20,FRSUPPWT>0;excludeFREVER999NIU; 2004+2006 pooled weighted records; Weighted P(FREVER=0) among pooled June 2004 and June 2006 women age 40-44 with valid FREVER 0-20 and positive FRSUPPWT.","Weighted P(FREVER=0) among pooled June 2004 and June 2006 women age 40-44 with valid FREVER 0-20 and positive FRSUPPWT.","fertility.uniform_birth_time.moments.childless_rate_40_44","frozen_lead_selected_working_minimum_distance_weight","Uniform birth-time parity interpolation is the main diagnostic; constant-post-cell sensitivity retained. Model household reproductive member is not certified female exposure; no empirical age reweighting."
"cps_exactly_one","Exactly one child among mothers, ages 40–44","0.21365532522014702","26952.820824310795","retained existing target unchanged","/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json","June, femaleSEX2,age40-44,FREVER0-20,FRSUPPWT>0;excludeFREVER999NIU; 2004+2006 pooled weighted records; Weighted P(FREVER=1 | FREVER>=1) in the same pooled CPS sample.","Weighted P(FREVER=1 | FREVER>=1) in the same pooled CPS sample.","fertility.uniform_birth_time.moments.exactly_one_among_mothers_40_44","frozen_lead_selected_working_minimum_distance_weight","Uniform birth-time parity interpolation is the main diagnostic; constant-post-cell sensitivity retained. Model household reproductive member is not certified female exposure; no empirical age reweighting."
"nchs_mean_age","Period mean first-birth age","25.976263860992496","139.82806784479274","retained existing target unchanged","/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv","US-named raw files; exact/decoded age12-49 and known live-birth order1; 2003 under15 recode mapped14; Pooled national first-birth counts ages 12-49, 2003-2006; age <=21 mapped to midpoint 20, 22-25 to 24, ..., age >=42 to 44; count-weighted mean.","Pooled national first-birth counts ages 12-49, 2003-2006; age <=21 mapped to midpoint 20, 22-25 to 24, ..., age >=42 to 44; count-weighted mean.","fertility.uniform_birth_time.moments.period_mean_age_first_birth","frozen_lead_selected_working_minimum_distance_weight","First-birth flow timing, not completed-cohort timing. Household maternal proxy; empirical under-18/over-45 tail collapse retained; raw builder residence and unknown-order comparability remain unresolved."
"nchs_share30","First births at age 30+","0.2492780130410667","13866.065434728798","retained existing target unchanged","/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv","US-named raw files; exact/decoded age12-49 and known live-birth order1; 2003 under15 recode mapped14; Pooled national first-birth counts ages 12-49, 2003-2006; exact maternal age >=30 divided by all first births in the pooled window.","Pooled national first-birth counts ages 12-49, 2003-2006; exact maternal age >=30 divided by all first births in the pooled window.","fertility.uniform_birth_time.moments.period_share_first_births_age30plus","frozen_lead_selected_working_minimum_distance_weight","First-birth flow timing, not completed-cohort timing. Household maternal proxy; empirical under-18/over-45 tail collapse retained; raw builder residence and unknown-order comparability remain unresolved."
"wealth_earnings","Aggregate net wealth / annual gross labor earnings","6.92658379107299","7.595098472533724","author-adopted new target","output/model/e5f_matched_pf_20260909a/design_research/wealth/aggregate_wealth_results.csv#initial_2005_2007","Pooled PSID survey waves 2005 and 2007. Numerator: reference persons ages 18-85 with RELTOHEAD=10, positive finite IW, finite NETWORTHR (11,324 family-years / 6,349 persons). Denominator: ages 18-65 with positive finite IW and finite nonnegative reference-person-plus-spouse gross labor earnings EARNINDRRC (9,750 family-years / 5,521 persons).","Ratio of pooled weighted totals: sum(IW*NETWORTHR) among reference persons ages18-85 / sum(IW*EARNINDRRC) among reference persons ages18-65; not total family income and not a mean of household ratios.","housing_wealth.moments.aggregate_wealth_to_annual_gross_labor_earnings","unchanged inherited positive calibration weight 7.595098472533724; distinct from updated 2005/2007 bootstrap SE (the old 2003/2005 SE is stale).","Household net worth is scaled by reference-person-plus-spouse gross labor earnings; calendar-specific wealth valuation and earnings-reference-year alignment remains inherited from the PSID shelf and is not newly certified."
"bequest_wealth","Annual bequests / aggregate wealth","0.007291023472616158","5165289.256198346","author-adopted new target","output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/bequest_flow_2007/calculation/verified_receipt.json#/verified_candidate; inputs.json","2007 SCF; mortality-weighted positive NETWORTH-TRUSTS estate proxy, with qx95 mapping for public ages top-coded at 95; scenario allocates 25% child share for legal marriage and 75% otherwise; aggregate signed NETWORTH denominator.","Annual child-directed bequest-flow proxy divided by aggregate signed SCF NETWORTH: $674.4895 billion / $92.5096 trillion in 2022 dollars = 0.007291023472616158.","housing_wealth.moments.annual_bequest_flow_to_aggregate_wealth","frozen_lead_selected_working_minimum_distance_weight","Experimental approximation: the frozen model observer sums positive estates over all fertility/dependent-child states without child-recipient eligibility or allocation, whereas the adopted SCF ratio is child-directed. No recipient-law change is authorized in this contract."
"old_dispersion","Old wealth/income p90 / median, ages 76–84","3.51593508651872","10.616361531535473","retained scored overidentifying; not theta1-identifying","/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/old_wealth_results.csv","Living PSID reference persons ages 76-84, relation_to_head=10, positive IW, completed children observed, INCFAMR>1000; p90/p50 of NETWORTHR/INCFAMR; 2003-2005; 644 valid family-years/416 IDs; bootstrap population 918 living reference IDs ages 65-84, before outcome/children filters.","Q_.90(NETWORTHR/INCFAMR)/Q_.50(NETWORTHR/INCFAMR), weighted","housing_wealth.moments.old_total_wealth_to_annual_income_p90_p50_7684","frozen_lead_selected_working_minimum_distance_weight","Uniform within-age-cell overlap for ages 76--84 Modeled pension plus configured lump-sum income proxy; not PSID total family income Empirical $1000 real-income and observed-child-history filters are not reproduced At these retirement ages model denominator is pension income (including configured z scaling), while PSID INCFAMR also includes transfers, asset income and other family components. Exact $1000 cutoff is not applied (only income>0), and observed-completed-children selection has no model missingness counterpart. Full 78/82 cells do not cover exactly 76-84. Actual model property-tax lump-sum transfer is zero in this receipt; proxy uses the configured pension-plus-transfer concept."
"mean_rooms","Mean occupied rooms, capped at 9","5.607885960068579","128.02070205233477","author-adopted new target","specification_followup/housing_profiles_v1/full/target_recomputed.json#/recomputed/national/mean_rooms","National U.S. ACS household heads, ages 18-85; occupied owner or renter homes; HHWT>0; ROOMS>0; survey years 2005-2006 pooled by ratio of weighted sums; no MET2013 restriction.","sum(HHWT*min(ROOMS,9))/sum(HHWT)","housing_wealth.moments.aggregate_mean_occupied_rooms_capped9_18_85","unchanged inherited positive weight; originally based on 42-metro bootstrap, not national sampling variance","National ACS target geography is accepted. Remaining mapping limits: model age exposure and policies/distribution are projected uniformly within four-year cells; mean rooms must cap each household at 9 before aggregation, which is not equivalent to capping a collapsed conditional mean."
"ownership_30_55","Ownership, heads 30–55","0.6762604168538028","2339.3623724673616","author-adopted new target","specification_followup/housing_profiles_v1/full/target_recomputed.json#/recomputed/national/ownership_30_55","National U.S. ACS household heads, ages 30-55; owner status OWNERSHP=1; DUE structures UNITSSTR 3:10; valid household/rooms; HHWT>0; survey years 2005-2006; no MET2013 restriction.","sum(HHWT*owner)/sum(HHWT)","housing_wealth.moments.own_rate_30_55","unchanged inherited positive weight; originally based on 42-metro bootstrap, not national sampling variance","National ACS target geography is accepted. The empirical owner sample is restricted to DUE structures UNITSSTR 3:10, a structure-type distinction absent from the model state; age 30-55 is projected through a four-year model cell extending to ages 54-57."
