parameter,estimate,lower,upper,transform,near_bound,status,interpretation,structural_coordinate
beta_annual,0.9787133267133993,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert,0.28303844150317253,0.02,50.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert_continuation,0.39253568743510703,0.02,50.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
chi,0.9886087964902056,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
H0,7.921782567551065,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
theta0,0.03682414331920435,0.0,8.0,softzero,True,diagnostic candidate; not a certified estimate,structural coordinate,True
theta1,0.09101228314076258,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
first_birth_fixed_cost,0.35073919671308235,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
delta_alpha_jump,0.006051867235065828,0.0,0.25,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
delta_alpha,0.014132339073506951,0.0,0.25,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
hbar_first_child_jump,0.0,,,,False,zero restriction,,False
hbar_child_rooms,0.0,,,,False,zero restriction,,False
psi_child,0.0612465213643787,,,,False,normalized to 2.1,,False
payroll_tax,0.179,,,,False,externally fixed,,False
pension_period,2.0463613896121218,,,,False,budget derived,,False
housing_supply_elasticity,0.63,,,,False,externally fixed,,False
tenure_choice_kappa,0.005,,,,False,externally fixed,,False
alpha_cons,0.733,,,,False,externally fixed,,False
sigma,2.0,,,,False,externally fixed,,False
