policy,period_4yr,years,household_population,share_of_population_gap_closed
tax,0,0,1.000000000000000,0.000000000000000
tax,1,4,1.000000000000000,0.000000000000000
tax,2,8,1.000038407407843,0.002170742919135
tax,3,12,1.000106687244009,0.006029841442067
tax,4,16,1.000198619876102,0.011225769034199
tax,5,20,1.000309693456157,0.017503521190601
tax,6,24,1.000436656611826,0.024679334051622
tax,7,28,1.000577189156340,0.032622073305453
tax,8,32,1.000729659714679,0.041239535495148
tax,9,36,1.000892947361582,0.050468367202437
tax,10,40,1.001066310404398,0.060266648804059
tax,11,44,1.001249289889801,0.070608440780952
tax,12,48,1.001441638687516,0.081479775611764
tax,13,52,1.001643269415417,0.092875714558235
tax,14,56,1.001854216245930,0.104798189006950
tax,15,60,1.002074606941344,0.117254419936922
tax,16,64,1.002304642428585,0.130255763508980
tax,17,68,1.002544581933162,0.143816870853422
tax,18,72,1.002794732214262,0.157955079649938
tax,19,76,1.003017032419723,0.170519233911523
tax,20,80,1.003220398381607,0.182013246305111
tax,21,84,1.003411042353029,0.192788226296786
tax,22,88,1.003593264037439,0.203087188225226
tax,23,92,1.003770011121536,0.213076731983312
tax,24,96,1.003943275779504,0.222869452985426
tax,25,100,1.004114374586013,0.232539762531412
tax,26,104,1.004284145659147,0.242135030100258
tax,27,108,1.004453087120141,0.251683408936463
tax,28,112,1.004621454004067,0.261199313331611
tax,29,116,1.004789325794380,0.270687235600013
tax,30,120,1.004956653217686,0.280144390865544
tax,31,124,1.005123290416840,0.289562535448661
tax,32,128,1.005289016829432,0.298929203413314
tax,33,132,1.005453551826427,0.308228533926241
tax,34,136,1.005616564263163,0.317441811068561
tax,35,140,1.005777678455531,0.326547801602585
tax,36,144,1.005936477641914,0.335522950636708
tax,37,148,1.006092505672105,0.344341477081074
tax,38,152,1.006245686124297,0.352999061662316
tax,39,156,1.006396135755590,0.361502303358535
tax,40,160,1.006544053019534,0.369862418538331
tax,41,164,1.006689654312434,0.378091637674158
tax,42,168,1.006833140016254,0.386201286126344
tax,43,172,1.006974678699341,0.394200891185627
tax,44,176,1.007114402018325,0.402097893934728
tax,45,180,1.007252405621861,0.409897700326655
tax,46,184,1.007388753157516,0.417603907649333
tax,47,188,1.007523481645625,0.425218608249867
tax,48,192,1.007656607223822,0.432742714209059
tax,49,196,1.007788130728348,0.440176272790151
tax,50,200,1.007918042860282,0.447518758428804
tax,51,204,1.008046328851306,0.454769336436508
tax,52,208,1.008172972636934,0.461927098866812
tax,53,212,1.008297960593417,0.468991275721011
tax,54,216,1.008421284915628,0.475961425862110
tax,55,220,1.008542946718697,0.482837612316086
tax,56,224,1.008662958943215,0.489620566470321
tax,57,228,1.008781344572593,0.496311587320995
tax,58,232,1.008898133269603,0.502912351374265
tax,59,236,1.009013357979252,0.509424720644390
tax,60,240,1.009127052163787,0.515850586379318
tax,61,244,1.009239247862492,0.522191759402911
tax,62,248,1.009349974535092,0.528449904745295
tax,63,252,1.009459258549046,0.534626512665208
tax,64,256,1.009567123145181,0.540722896707633
tax,65,260,1.009673588726101,0.546740210004534
tax,66,264,1.009778673336692,0.552679472432369
tax,67,268,1.009882393234555,0.558541602852069
tax,68,272,1.009984763474769,0.564327452159663
tax,69,276,1.010085798455718,0.570037834135360
tax,70,280,1.010185512390132,0.575673552066452
tax,71,284,1.010283919678421,0.581235419847739
tax,72,288,1.010381035170422,0.586724276775104
tax,73,292,1.010476874307591,0.592140995581934
tax,74,296,1.010571453141254,0.597486483470961
tax,75,300,1.010664788224345,0.602761675995143
tax,76,304,1.010756896424369,0.607967526486649
tax,77,308,1.010847794710586,0.613104994028665
tax,78,312,1.010937499956133,0.618175032271745
tax,79,316,1.011026028779596,0.623178580479359
tax,80,320,1.011113397436245,0.628116557380842
tax,81,324,1.011199621758788,0.632989857822846
tax,82,328,1.011284717141041,0.637799351846294
tax,83,332,1.011368698554702,0.642545885634462
tax,84,336,1.011451580588551,0.647230283728644
tax,85,340,1.011533377500046,0.651853351944033
tax,86,344,1.011614103270754,0.656415880502901
tax,87,348,1.011693771658966,0.660918647008223
tax,88,352,1.011772396244774,0.665362418991205
tax,89,356,1.011849990464710,0.669747955869416
tax,90,360,1.011926567634711,0.674076010244428
tax,91,364,1.012002140961511,0.678347328545742
tax,92,368,1.012076723543734,0.682562651092731
tax,93,372,1.012150328364914,0.686722711699852
tax,94,376,1.012222968281409,0.690828236993945
tax,95,380,1.012294656008330,0.694879945618428
tax,96,384,1.012365404106086,0.698878547473398
tax,97,388,1.012435224969439,0.702824743096721
tax,98,392,1.012504130820078,0.706719223244194
tax,99,396,1.012572133702989,0.710562668684816
tax,100,400,1.012639245486365,0.714355750195260
tax,101,404,1.012705477864382,0.718099128717068
tax,102,408,1.012770842362041,0.721793455630158
tax,103,412,1.012835350341206,0.725439373094118
tax,104,416,1.012899013007071,0.729037514413771
tax,105,420,1.012961841414418,0.732588504392722
tax,106,424,1.013023846473208,0.736092959649592
tax,107,428,1.013085038953235,0.739551488880923
tax,108,432,1.013145429487737,0.742964693065061
tax,109,436,1.013205028575977,0.746333165608511
tax,110,440,1.013263846584969,0.749657492443023
tax,111,444,1.013321893750525,0.752938252085086
tax+grant,0,0,1.000000000000000,0.000000000000000
tax+grant,1,4,1.000000000000000,0.000000000000000
tax+grant,2,8,1.000077437250980,0.002131713075911
tax+grant,3,12,1.000215103474946,0.005921425210862
tax+grant,4,16,1.000400461633323,0.011024013499275
tax+grant,5,20,1.000624419612059,0.017189187826638
tax+grant,6,24,1.000880427525348,0.024236641208397
tax+grant,7,28,1.001163813306639,0.032037759763818
tax+grant,8,32,1.001471293758518,0.040502162768293
tax+grant,9,36,1.001800614801865,0.049567799337105
tax+grant,10,40,1.002150286864123,0.059193664123867
tax+grant,11,44,1.002519390328910,0.069354441686198
tax+grant,12,48,1.002907432582899,0.080036571234456
tax+grant,13,52,1.003314243065477,0.091235357531105
tax+grant,14,56,1.003739896312199,0.102952852410527
tax+grant,15,60,1.004184655623003,0.115196304062942
tax+grant,16,64,1.004648931930009,0.127977024736122
tax+grant,17,68,1.005133253870910,0.141309566907997
tax+grant,18,72,1.005638246127857,0.155211126993576
tax+grant,19,76,1.006087176616651,0.167569403934214
tax+grant,20,80,1.006498028215369,0.178879435142171
tax+grant,21,84,1.006883327103348,0.189486044587090
tax+grant,22,88,1.007251740358565,0.199627821878282
tax+grant,23,92,1.007609207731898,0.209468278045021
tax+grant,24,96,1.007959742008610,0.219117878098741
tax+grant,25,100,1.008305993861831,0.228649590468766
tax+grant,26,104,1.008649649558012,0.238109835142802
tax+grant,27,108,1.008991710187139,0.247526170390148
tax+grant,28,112,1.009332687032274,0.256912670945810
tax+grant,29,116,1.009672737663837,0.266273674449901
tax+grant,30,120,1.010011760196719,0.275606376182248
tax+grant,31,124,1.010349458060193,0.284902612065622
tax+grant,32,128,1.010685384012707,0.294150070316610
tax+grant,33,132,1.011018969564322,0.303333101394143
tax+grant,34,136,1.011349544147340,0.312433245733749
tax+grant,35,140,1.011676347085200,0.321429563230312
tax+grant,36,144,1.011998534497138,0.330298823311561
tax+grant,37,148,1.012315182631938,0.339015596710291
tax+grant,38,152,1.012626135847704,0.347575598875281
tax+grant,39,156,1.012931629078924,0.355985297145171
tax+grant,40,160,1.013232062300288,0.364255702128695
tax+grant,41,164,1.013527871601893,0.372398818629147
tax+grant,42,168,1.013819460557442,0.380425756329870
tax+grant,43,172,1.014107168320407,0.388345851537138
tax+grant,44,176,1.014391259355961,0.396166384517984
tax+grant,45,180,1.014671925300714,0.403892630695608
tax+grant,46,184,1.014949293088032,0.411528084325158
tax+grant,47,188,1.015223435829540,0.419074758042797
tax+grant,48,192,1.015494384440340,0.426533502887544
tax+grant,49,196,1.015762138930507,0.433904319136776
tax+grant,50,200,1.016026678855630,0.441186643991360
tax+grant,51,204,1.016287972755268,0.448379611399958
tax+grant,52,208,1.016545986596673,0.455482284500119
tax+grant,53,212,1.016800691338365,0.462493863830315
tax+grant,54,216,1.017052069770577,0.469413875635541
tax+grant,55,220,1.017300122800476,0.476242344888518
tax+grant,56,224,1.017544875343905,0.482979957479162
tax+grant,57,228,1.017786372702799,0.489627960491083
tax+grant,58,232,1.018024673737299,0.496187974241760
tax+grant,59,236,1.018259843972632,0.502661802526947
tax+grant,60,240,1.018491949991017,0.509051278239545
tax+grant,61,244,1.018721055498468,0.515358155095473
tax+grant,62,248,1.018947218981966,0.521584043139838
tax+grant,63,252,1.019170492672909,0.527730380212297
tax+grant,64,256,1.019390922480556,0.533798430115040
tax+grant,65,260,1.019608548579694,0.539789298790225
tax+grant,66,264,1.019823406387366,0.545703961207586
tax+grant,67,268,1.020035527721455,0.551543293258124
tax+grant,68,272,1.020244941987847,0.557308104434909
tax+grant,69,276,1.020451677288199,0.562999168327703
tax+grant,70,280,1.020655761375648,0.568617248932231
tax+grant,71,284,1.020857222412029,0.574163121494881
tax+grant,72,288,1.021056089498390,0.579637587117000
tax+grant,73,292,1.021252392962656,0.585041480673717
tax+grant,74,296,1.021446164395435,0.590375671799608
tax+grant,75,300,1.021637436428630,0.595641058794314
tax+grant,76,304,1.021826242354037,0.600838558123160
tax+grant,77,308,1.022012615689757,0.605969092481322
tax+grant,78,312,1.022196589777273,0.611033579701889
tax+grant,79,316,1.022378197458964,0.616032923878561
tax+grant,80,320,1.022557470856827,0.620968009274148
tax+grant,81,324,1.022734441252006,0.625839697004214
