moment,model,source
Initial model completed fertility,2.10000031480899,exact_stationary_key
"Childless women, ages 40–44",0.2016495591147595,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.12564638643672,approximate_stationary_analogue
First births at age 30+,0.23444879342608937,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.027485452453318,exact_stationary_key
Annual bequests / aggregate wealth,0.008157297610161336,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.382382267466777,exact_stationary_key
"Mean occupied rooms, capped at 9",5.80490051110619,approximate_stationary_analogue
"Ownership, heads 30–55",0.30021015917414284,exact_stationary_key
"First-birth room response, −1 to +3",1.3597548044910213,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.2579611888961697,approximate_stationary_analogue
Recent-parent ownership gap,0.22767967625680968,exact_stationary_key
