moment,model,source
Initial model completed fertility,2.100000002091775,exact_stationary_key
"Childless women, ages 40–44",0.21026457705461343,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.496758745577193,approximate_stationary_analogue
First births at age 30+,0.2588807637274966,approximate_stationary_analogue
Wealth / annual gross labor earnings,4.756414856624498,exact_stationary_key
Annual bequests / aggregate wealth,0.008510772219872266,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.364072581423893,exact_stationary_key
"Mean occupied rooms, capped at 9",5.692451307572312,approximate_stationary_analogue
"Ownership, heads 30–55",0.4485202011436145,exact_stationary_key
"First-birth room response, −1 to +3",1.388481652813692,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.5693324022498336,approximate_stationary_analogue
Recent-parent ownership gap,0.4497533422524583,exact_stationary_key
