moment,model,source
Initial model completed fertility,0.9199365913546766,exact_stationary_key
"Childless women, ages 40–44",0.5369894041050349,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,32.41975128132478,approximate_stationary_analogue
First births at age 30+,0.6094640867986514,approximate_stationary_analogue
Wealth / annual gross labor earnings,4.982411427938842,exact_stationary_key
Annual bequests / aggregate wealth,0.008393350168962754,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",3.559273361787145,exact_stationary_key
"Mean occupied rooms, capped at 9",5.253209482754163,approximate_stationary_analogue
"Ownership, heads 30–55",0.5497496290244785,exact_stationary_key
"First-birth room response, −1 to +3",0.5162866417057445,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.9087686883140513,approximate_stationary_analogue
Recent-parent ownership gap,0.2223428675418399,exact_stationary_key
