moment,model,source
Initial model completed fertility,2.0491345842081983,exact_stationary_key
"Childless women, ages 40–44",0.15411578381108007,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,27.168905320745246,approximate_stationary_analogue
First births at age 30+,0.2980410658354296,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.481523721325415,exact_stationary_key
Annual bequests / aggregate wealth,0.007952407894996707,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",2.9200481493112362,exact_stationary_key
"Mean occupied rooms, capped at 9",6.086819089448952,approximate_stationary_analogue
"Ownership, heads 30–55",0.499079949255125,exact_stationary_key
"First-birth room response, −1 to +3",1.229698134972771,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.2995492222628702,approximate_stationary_analogue
Recent-parent ownership gap,0.4106254043886818,exact_stationary_key
