moment,model,source
Initial model completed fertility,1.9193479448390427,exact_stationary_key
"Childless women, ages 40–44",0.21498172460468334,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,27.232103060475595,approximate_stationary_analogue
First births at age 30+,0.2994282628900216,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.541142187489915,exact_stationary_key
Annual bequests / aggregate wealth,0.007862104239711612,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",3.4419480738834074,exact_stationary_key
"Mean occupied rooms, capped at 9",5.897847139255197,approximate_stationary_analogue
"Ownership, heads 30–55",0.4783937372919891,exact_stationary_key
"First-birth room response, −1 to +3",1.1120014679728996,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.3004747408679842,approximate_stationary_analogue
Recent-parent ownership gap,0.4323389398782045,exact_stationary_key
