moment,model,source
Initial model completed fertility,1.875638183761942,exact_stationary_key
"Childless women, ages 40–44",0.23708469724222714,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.94581304306674,approximate_stationary_analogue
First births at age 30+,0.28381414552764006,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.249362442967365,exact_stationary_key
Annual bequests / aggregate wealth,0.007745309739738876,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.617210127309726,exact_stationary_key
"Mean occupied rooms, capped at 9",5.632495694367767,approximate_stationary_analogue
"Ownership, heads 30–55",0.34952672213773267,exact_stationary_key
"First-birth room response, −1 to +3",1.02683218660448,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.2852547882309038,approximate_stationary_analogue
Recent-parent ownership gap,0.4196423086828383,exact_stationary_key
