moment,model,source
Initial model completed fertility,2.0999999765715254,exact_stationary_key
"Childless women, ages 40–44",0.1442981045112435,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,27.019745938765972,approximate_stationary_analogue
First births at age 30+,0.289244313504345,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.472382796955071,exact_stationary_key
Annual bequests / aggregate wealth,0.007954617982516145,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",2.918414915610718,exact_stationary_key
"Mean occupied rooms, capped at 9",6.093301299521236,approximate_stationary_analogue
"Ownership, heads 30–55",0.4987762619157682,exact_stationary_key
"First-birth room response, −1 to +3",1.2374400350680834,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.28908453165328396,approximate_stationary_analogue
Recent-parent ownership gap,0.41242436493300183,exact_stationary_key
