moment,model,source
Initial model completed fertility,2.100000058309221,exact_stationary_key
"Childless women, ages 40–44",0.1837828787702868,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.643312087938682,approximate_stationary_analogue
First births at age 30+,0.26389013696008723,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.509781010901598,exact_stationary_key
Annual bequests / aggregate wealth,0.007868910055556025,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",3.3769947258053903,exact_stationary_key
"Mean occupied rooms, capped at 9",5.923131761130491,approximate_stationary_analogue
"Ownership, heads 30–55",0.4767811188640746,exact_stationary_key
"First-birth room response, −1 to +3",1.1414140759032954,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.256246864783086,approximate_stationary_analogue
Recent-parent ownership gap,0.4436494861744022,exact_stationary_key
