moment,model,source
Initial model completed fertility,2.1000001032591396,exact_stationary_key
"Childless women, ages 40–44",0.20071699913999005,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.123707415736458,approximate_stationary_analogue
First births at age 30+,0.23416359103552392,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.210604025593807,exact_stationary_key
Annual bequests / aggregate wealth,0.007755349868279359,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",5.044757441535065,exact_stationary_key
"Mean occupied rooms, capped at 9",5.66007112068806,approximate_stationary_analogue
"Ownership, heads 30–55",0.34934408050432375,exact_stationary_key
"First-birth room response, −1 to +3",1.0784026893495644,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.22089673959335787,approximate_stationary_analogue
Recent-parent ownership gap,0.41896506676395107,exact_stationary_key
