moment,model,source
Initial model completed fertility,2.100000010454707,exact_stationary_key
"Childless women, ages 40–44",0.22823004193051402,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,27.06088328784589,approximate_stationary_analogue
First births at age 30+,0.2844073474494547,approximate_stationary_analogue
Wealth / annual gross labor earnings,4.986488429857678,exact_stationary_key
Annual bequests / aggregate wealth,0.008352726427683262,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.455673451321563,exact_stationary_key
"Mean occupied rooms, capped at 9",5.508014172340975,approximate_stationary_analogue
"Ownership, heads 30–55",0.4159252327801838,exact_stationary_key
"First-birth room response, −1 to +3",0.8539740874770588,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.14596871898161545,approximate_stationary_analogue
Recent-parent ownership gap,0.38800614472259465,exact_stationary_key
