moment,model,source
Initial model completed fertility,2.0999999519630945,exact_stationary_key
"Childless women, ages 40–44",0.19273282917575585,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.43832012134778,approximate_stationary_analogue
First births at age 30+,0.2517995053293033,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.082973025493474,exact_stationary_key
Annual bequests / aggregate wealth,0.007884410809519649,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.067869538878928,exact_stationary_key
"Mean occupied rooms, capped at 9",5.875836444573128,approximate_stationary_analogue
"Ownership, heads 30–55",0.44643649878962754,exact_stationary_key
"First-birth room response, −1 to +3",1.0612062020109387,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.22007607385830052,approximate_stationary_analogue
Recent-parent ownership gap,0.46114956475052343,exact_stationary_key
