moment,target,model,benchmark_model,notes
tfr,1.7,1.9561541805777127,1.898,"V2 three-type partial PE loop; S pinned, M/L updated"
childless_rate,0.15,0.128247541955419,0.145,"V2 three-type partial PE loop; S pinned, M/L updated"
mean_age_first_birth,26.0,33.35321315778754,33.535,"V2 three-type partial PE loop; S pinned, M/L updated"
tfr_gradient,0.133,0.11942448476205292,0.119,"V2 three-type partial PE loop; S pinned, M/L updated"
own_rate,0.627,0.6056615502215611,0.643,"V2 three-type partial PE loop; S pinned, M/L updated"
own_gradient,0.17,0.02531309891977207,0.139,"V2 three-type partial PE loop; S pinned, M/L updated"
own_family_gap,0.11,0.061527861847286536,0.114,"V2 three-type partial PE loop; S pinned, M/L updated"
prime_childless_renter_median_rooms,4.0,6.231777399060888,6.365,"V2 three-type partial PE loop; S pinned, M/L updated"
prime_childless_owner_median_rooms,6.0,8.2,6.8,"V2 three-type partial PE loop; S pinned, M/L updated"
housing_increment_0to1,0.66443467,0.38235381679638536,0.441,"V2 three-type partial PE loop; S pinned, M/L updated"
housing_increment_1to2,0.56581378,0.2590946113959278,0.192,"V2 three-type partial PE loop; S pinned, M/L updated"
young_liquid_wealth_to_income,0.6,0.5602342745508837,0.527,"V2 three-type partial PE loop; S pinned, M/L updated"
center_share_nonparents,0.494,0.4209915568214497,0.405,"V2 three-type partial PE loop; S pinned, M/L updated"
center_share_newparents,0.416,0.39877173532226606,0.382,"V2 three-type partial PE loop; S pinned, M/L updated"
migration_rate,0.032,0.03355945500030222,0.035,"V2 three-type partial PE loop; S pinned, M/L updated"
old_age_own_rate,0.863,0.7779698774306214,0.947,"V2 three-type partial PE loop; S pinned, M/L updated"
old_age_parent_childless_gap,0.07,-0.049839582620289535,0.062,"V2 three-type partial PE loop; S pinned, M/L updated"
inv_pop_share_C,0.45,0.4423645254458701,0.441,"V2 three-type partial PE loop; S pinned, M/L updated"
inv_rent_ratio_C_over_P,1.14,1.1824877314608842,1.182,"V2 three-type partial PE loop; S pinned, M/L updated"
