diagnostic,name,value,z,age,age_bin,location,parity,tenure,wealth_bin,mass,notes
diagnostic_parameter,b_grid_step,3.5,,,,,,,,,
diagnostic_parameter,local_b_grid_step_p25,0.642857142857143,,,,,,,,,
diagnostic_parameter,near_threshold_band,0.642857142857143,,,,,,,,,
diagnostic_parameter,mean_phi_financed_share,0.8,,,,,,,,,phi is financed share
aggregate_mass,total,1.0,,,,,,,,,
aggregate_mass,owner_share,0.5772890724787486,,,,,,,,,
aggregate_mass,renter_share,0.42271092752125156,,,,,,,,,
mass_by_z,,0.2680699730871548,-0.28,,,,,,,0.2680699730871548,
ownership_by_z,,0.5206953600699518,-0.28,,,,,,,0.2680699730871548,
owner_bp_near_borrowing_floor_share_by_z,,0.08861343177549015,-0.28,,,,,,,0.1395827911605583,bp' within the local near-threshold band of -phi*p_i*H_k
owner_mean_bp_floor_slack_by_z,,2.3681154417119172,-0.28,,,,,,,0.1395827911605583,
renter_to_owner_purchase_share_by_z,,0.014602014248572064,-0.28,,,,,,,0.1284871819265965,
renter_feasible_starter_share_by_z,,0.3363148904797222,-0.28,,,,,,,0.1284871819265965,
renter_near_starter_dp_share_by_z,,0.881040081987526,-0.28,,,,,,,0.1284871819265965,
purchase_near_downpayment_share_by_z,,3.783774027160712e-06,-0.28,,,,,,,0.0018761716612510331,
mean_purchase_downpayment_slack_by_z,,0.9819469278109172,-0.28,,,,,,,0.0018761716612510331,
renter_to_owner_purchase_share_by_z_agebin,,0.0041154250350780245,-0.28,,22-29,,,,,0.03547804325397609,
renter_to_owner_purchase_share_by_z_agebin,,0.014340825940281451,-0.28,,30-34,,,,,0.01880755766626499,
renter_to_owner_purchase_share_by_z_agebin,,0.044070695006024924,-0.28,,35-44,,,,,0.023208718343081247,
renter_to_owner_purchase_share_by_z_agebin,,0.029678059839347362,-0.28,,45-55,,,,,0.010515608998746675,
renter_to_owner_purchase_share_by_z_agebin,,0.02749482667408012,-0.28,,56-64,,,,,0.004180424290813499,
tenure_choice_mass_share_by_z,R_to_R,0.4723058267483769,-0.28,,,,,,,0.1266110102653438,
tenure_choice_mass_share_by_z,R_to_O,0.006998813181671418,-0.28,,,,,,,0.0018761716612526813,
tenure_choice_mass_share_by_z,O_to_R,0.006049038665786516,-0.28,,,,,,,0.00162156563234055,
tenure_choice_mass_share_by_z,O_to_same,0.514538761935109,-0.28,,,,,,,0.1379323920642426,
tenure_choice_mass_share_by_z,O_to_other_owner,0.00010755946905644874,-0.28,,,,,,,2.8833463975230875e-05,
mass_by_z,,0.46386005382557743,0.0,,,,,,,0.46386005382557743,
ownership_by_z,,0.5794446230216193,0.0,,,,,,,0.46386005382557743,
owner_bp_near_borrowing_floor_share_by_z,,0.055390644687359054,0.0,,,,,,,0.2687812140237493,bp' within the local near-threshold band of -phi*p_i*H_k
owner_mean_bp_floor_slack_by_z,,2.7699331949624555,0.0,,,,,,,0.2687812140237493,
renter_to_owner_purchase_share_by_z,,0.03369500504678595,0.0,,,,,,,0.19507883980182766,
renter_feasible_starter_share_by_z,,0.4987965024111139,0.0,,,,,,,0.19507883980182766,
renter_near_starter_dp_share_by_z,,0.7923760353807398,0.0,,,,,,,0.19507883980182766,
purchase_near_downpayment_share_by_z,,1.0531123295225694e-06,0.0,,,,,,,0.00657318249164373,
mean_purchase_downpayment_slack_by_z,,0.9881297655471908,0.0,,,,,,,0.00657318249164373,
renter_to_owner_purchase_share_by_z_agebin,,0.018515788029250475,0.0,,22-29,,,,,0.05983643875314972,
renter_to_owner_purchase_share_by_z_agebin,,0.04287434783757165,0.0,,30-34,,,,,0.029612018013319783,
renter_to_owner_purchase_share_by_z_agebin,,0.06766487886128107,0.0,,35-44,,,,,0.033682958296336496,
