diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,3,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_process,,,,,-0.28,0.3333333333333333,"[0.82, 0.16000000000000006, 0.02]",,,,,,,,
z_process,,,,,0.0,0.3333333333333333,"[0.09000000000000002, 0.82, 0.09000000000000002]",,,,,,,,
z_process,,,,,0.28,0.3333333333333333,"[0.02, 0.16000000000000006, 0.82]",,,,,,,,
z_by_age,,,,18.0,-0.28,,,0.33333333333333326,0.3188336912940299,0.35058162523036007,0.0,,,,
z_by_age,,,,18.0,0.0,,,0.33333333333333337,0.3188336912940299,0.463865,0.0,,,,
z_by_age,,,,18.0,0.28,,,0.33333333333333337,0.3188336912940298,0.613753610399905,0.0,,,,
z_by_age,,,,19.0,-0.28,,,0.30999999999999994,0.32128755240018025,0.35058162523036007,0.0,,,,
z_by_age,,,,19.0,0.0,,,0.3799999999999999,0.3322083574848844,0.4638649999999999,0.0,,,,
z_by_age,,,,19.0,0.28,,,0.31,0.4003075763563804,0.6137536103999051,0.0,,,,
z_by_age,,,,20.0,-0.28,,,0.29460000000000003,0.3260750611122937,0.35058162523035996,0.0,,,,
z_by_age,,,,20.0,0.0,,,0.4107999999999999,0.3490058770230293,0.46386499999999997,0.0,,,,
z_by_age,,,,20.0,0.28,,,0.29459999999999986,0.4598771594853527,0.6137536103999052,0.0,,,,
z_by_age,,,,21.0,-0.28,,,0.28443599999999997,0.3326655611985417,0.35058162523036,0.0,,,,
z_by_age,,,,21.0,0.0,,,0.43112799999999996,0.3653498434746405,0.4638649999999998,0.0,,,,
z_by_age,,,,21.0,0.28,,,0.28443599999999997,0.4987812928817093,0.613753610399905,0.0,,,,
z_by_age,,,,22.0,-0.28,,,0.2777277599999998,0.33995861031143987,0.35058162523036,1.3272392702104263e-05,,,,
z_by_age,,,,22.0,0.0,,,0.4445444800000001,0.3788769633860746,0.4638649999999999,6.633508340934995e-05,,,,
z_by_age,,,,22.0,0.28,,,0.27772776,0.5179967432620117,0.6137536103999048,0.0005441681007862743,,,,
z_by_age,,,,23.0,-0.28,,,0.2733003215999998,0.34642488561904783,0.35058162523036,8.977075513121655e-05,,,,
z_by_age,,,,23.0,0.0,,,0.4533993568000001,0.3872431274713581,0.4638649999999999,0.00040676303893238144,,,,
z_by_age,,,,23.0,0.28,,,0.2733003216000001,0.5181540635801047,0.6137536103999052,0.00175659807208335,,,,
z_by_age,,,,24.0,-0.28,,,0.27037821225599196,0.3487625442063478,0.35058162523036007,0.0007145755129631914,,,,
z_by_age,,,,24.0,0.0,,,0.4592435754880045,0.38194115712612353,0.46386499999999997,0.0030897864745548773,,,,
