iter,err,err_p,err_e,p_P,p_C,entry_share_P,entry_share_C,scale_factor,implied_total_population,city_entry_prob_total,outside_entry_prob,outside_entry_flow,scale_denominator,scale_residual,own_rate,tfr,pop_P,pop_C
1,0.15349055139560827,0.15349055139560827,6.31658181815542e-07,0.49766052026004093,0.5884774596399392,0.5,0.5,0.9999999999999998,1.0,0.9000000000000001,0.10000000000000002,0.006317780521398697,0.005686002469258827,0.0,0.5158713688781599,1.4978940710566346,0.5638166915244067,0.436183308475593
2,0.06957609215544912,0.06957609215544912,6.240840628723987e-07,0.4986193612651924,0.5982461873139181,0.5000000683138324,0.49999993168616763,1.0000000000000002,1.0,0.8999999999999999,0.09999999999999998,0.006356665600650492,0.005720999040585444,0.0,0.5092557253452505,1.4931457047369256,0.5828998021179579,0.4171001978820421
3,0.08721663008439019,0.08721663008439019,1.5800175174329745e-06,0.5008373568798926,0.6074020837289797,0.5000001694370171,0.49999983056298297,0.9999999999999996,1.0,0.9,0.09999999999999999,0.0054864873683589666,0.004937838631523068,0.0,0.5430125687992,1.5981288958103808,0.6380572071716343,0.3619427928283654
4,0.05919081102883539,0.05919081102883539,1.3346122411661554e-06,0.5059507776275485,0.6061112947086088,0.5000003968769017,0.4999996031230983,1.0,1.0,0.8999999999999999,0.09999999999999996,0.005591411435109795,0.005032270291598815,0.0,0.5641267329976882,1.585339422164687,0.6290910013777052,0.370908998622294
5,0.020113224032870036,0.020113224032870036,1.047671152443197e-06,0.511060810972431,0.6025582278555235,0.5000006569530864,0.4999993430469137,1.0000000000000002,1.0,0.8999999999999999,0.09999999999999998,0.005684939816415819,0.005116445834774235,0.0,0.5509427172500184,1.5738902311852887,0.6134633294066038,0.3865366705933965
6,0.023117443646839635,0.023117443646839635,1.0663755394269003e-06,0.5145780206287954,0.6005333128533874,0.5000008998081648,0.49999910019183524,1.0000000000000009,1.0,0.9000000000000001,0.10000000000000002,0.005689223729241029,0.005120301356316928,0.0,0.5525234142820578,1.573226414497428,0.6229595095018939,0.37704049049810634
7,0.007179848244255053,0.007179848244255053,8.397804713289325e-07,0.5172773502935657,0.5983151502751612,0.500001134052072,0.499998865947928,1.0000000000000002,1.0,0.9,0.09999999999999999,0.0057404736110934895,0.005166426249984141,0.0,0.5497237716869061,1.56696755168747,0.6144253153440187,0.38557468465598127
8,0.020600692699680213,0.020600692699680213,6.364803436520461e-07,0.5187470484103871,0.597568637294381,0.5000013358932306,0.4999986641067694,0.9999999999999991,1.0,0.9,0.1,0.005764238043126115,0.005187814238813503,0.0,0.5501966694322079,1.5640592168250964,0.6104611993193927,0.38953880068060714
9,0.018005006014410716,0.018005006014410716,4.737900575202403e-07,0.5192618797865782,0.5980704173878523,0.5000014991399622,0.49999850086003783,1.0000000000000007,1.0,0.9,0.09999999999999995,0.005773145980902757,0.005195831382812483,0.0,0.5534614460361551,1.5629691993486332,0.6109313693030199,0.38906863069698006
10,0.010477846767801457,0.010477846767801457,3.4818185140617075e-07,0.5193050410838164,0.5990287761420798,0.5000016261509883,0.4999983738490117,0.9999999999999996,1.0,0.8999999999999999,0.1,0.005775891104103238,0.005198301993692913,0.0,0.5527360689253151,1.5626316479895241,0.6125905906870931,0.3874094093129067
11,0.0022774575374150214,0.0022774575374150214,2.5324928998315954e-07,0.5192528240453689,0.5999634726662445,0.5000017224654236,0.4999982775345764,1.0000000000000009,1.0,0.8999999999999999,0.09999999999999998,0.005775417133980538,0.005197875420582485,0.0,0.5527010149412408,1.5626920821378534,0.6144444170012032,0.3855555829987967
12,0.002364422345188916,0.002364422345188916,1.8241748250824585e-07,0.5192372634619253,0.6005644490092807,0.5000017941813106,0.4999982058186894,1.0000000000000002,1.0,0.9000000000000001,0.09999999999999996,0.0057756594238354605,0.005198093481451916,0.0,0.5523274215326159,1.5626593659632038,0.6155001104912937,0.38449988950870606
13,0.003969395531239397,0.003969395531239397,1.3010613642006064e-07,0.5192694239317239,0.6007914462142956,0.5000018468274144,0.49999815317258556,1.0000000000000009,1.0,0.8999999999999999,0.09999999999999992,0.005776494984328999,0.005198845485896098,0.0,0.552060980655634,1.562558206003192,0.6158595264818784,0.38414047351812136
14,0.0033773033315697785,0.0033773033315697785,9.188007743521354e-08,0.519333278793151,0.6007588996159715,0.500001885008395,0.499998114991605,0.9999999999999996,1.0,0.8999999999999999,0.09999999999999998,0.005777305137875072,0.0051995746240875666,0.0,0.5520311758903456,1.562459202350896,0.6156782964918275,0.38432170350817235
15,0.002136085610100212,0.002136085610100212,6.428539756075935e-08,0.5194056189985513,0.6006389736106164,0.5000019123951688,0.4999980876048312,1.0000000000000002,1.0,0.9000000000000001,0.09999999999999998,0.005778271679976261,0.005200444511978633,0.0,0.5522535370813533,1.5623411618121108,0.6153266059435877,0.38467339405641304
16,0.000732804430253207,0.000732804430253207,4.4580226621349084e-08,0.5194669191969723,0.6005042382178104,0.5000019318410419,0.4999980681589581,1.0000000000000002,1.0,0.8999999999999999,0.09999999999999999,0.005779224909276277,0.005201302418348649,0.0,0.5522791131278117,1.5622243056743803,0.6149804020110484,0.38501959798895163
17,0.00022218249381993278,0.00022218249381993278,3.071396492693168e-08,0.5195066598297923,0.6004039929449273,0.500001945518001,0.49999805448199897,0.9999999999999998,1.0,0.9000000000000001,0.1,0.005780247611316054,0.005202222850184448,0.0,0.55238568231034,1.5621013378211162,0.6147253613057657,0.3852746386942338
