moment,target,model,benchmark_model,notes
tfr,1.7,1.5621013375870467,1.898,V5 full-equilibrium HANK-z with outside-option scale closure
childless_rate,0.15,0.35112272969016417,0.145,V5 full-equilibrium HANK-z with outside-option scale closure
mean_age_first_birth,26.0,35.27965556876871,33.535,V5 full-equilibrium HANK-z with outside-option scale closure
tfr_gradient,0.133,-0.194062420632801,0.119,V5 full-equilibrium HANK-z with outside-option scale closure
own_rate,0.627,0.6086939103507941,0.643,V5 full-equilibrium HANK-z with outside-option scale closure
own_gradient,0.17,-0.1285757624942434,0.139,V5 full-equilibrium HANK-z with outside-option scale closure
own_family_gap,0.11,0.35305151368277016,0.114,V5 full-equilibrium HANK-z with outside-option scale closure
prime_childless_renter_median_rooms,4.0,6.001555987253846,6.365,V5 full-equilibrium HANK-z with outside-option scale closure
prime_childless_owner_median_rooms,6.0,6.8,6.8,V5 full-equilibrium HANK-z with outside-option scale closure
housing_increment_0to1,0.66443467,0.5881353864685641,0.441,V5 full-equilibrium HANK-z with outside-option scale closure
housing_increment_1to2,0.56581378,1.4893325177210075,0.192,V5 full-equilibrium HANK-z with outside-option scale closure
young_liquid_wealth_to_income,0.6,1.8658328650620337,0.527,V5 full-equilibrium HANK-z with outside-option scale closure
center_share_nonparents,0.494,0.23314813547680388,0.405,V5 full-equilibrium HANK-z with outside-option scale closure
center_share_newparents,0.416,0.37130852207126314,0.382,V5 full-equilibrium HANK-z with outside-option scale closure
migration_rate,0.032,0.03338839930446857,0.035,V5 full-equilibrium HANK-z with outside-option scale closure
old_age_own_rate,0.863,0.7531464633961431,0.947,V5 full-equilibrium HANK-z with outside-option scale closure
old_age_parent_childless_gap,0.07,0.26270747006573536,0.062,V5 full-equilibrium HANK-z with outside-option scale closure
inv_pop_share_C,0.45,0.38527463868721123,0.441,V5 full-equilibrium HANK-z with outside-option scale closure
inv_rent_ratio_C_over_P,1.14,1.155719530413026,1.182,V5 full-equilibrium HANK-z with outside-option scale closure
